row_label_raw,row_label_full,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo),N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_1,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_2,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_3,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_4,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_5,numeric__N THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT (tiếp theo)c thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với Báo cáo tài chính hợp nhất kèm theo)_6
"Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình","Tăng, giảm tài sản cố định hữu hình",,,,,,
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị",Phương tiện vận tải,"Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Đơn vị tính: VND Cộng,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,,,,,,
Số dư ngày 01/01/2025,Nguyên giá > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,2.422.114.799.333,82.662.666.861,64.228.717.491,10.525.147.668,16.914.125.268,2.596.445.456.621,2422114799333.0,82662666861.0,64228717491.0,10525147668.0,16914125268.0,2596445456621.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,2.753.912.635,21.017.412.555,1.442.628.028,1.972.001.709,27.185.954.927,,2753912635.0,21017412555.0,1442628028.0,1972001709.0,27185954927.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,554.598.797,-,-,-,-,554.598.797,554598797.0,,,,,554598797.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(811.118.279),(10.528.250.538),(45.909.000),(73.500.000),(11.458.777.817),,-811118279.0,-10528250538.0,-45909000.0,-73500000.0,-11458777817.0
Phân loại lại tài sản,Nguyên giá > Phân loại lại tài sản,Phân loại lại tài sản,108.000.000,99.995.000,-,-,(207.995.000),-,108000000.0,99995000.0,,,-207995000.0,
Số dư ngày 31/1/2025,Nguyên giá > Số dư ngày 31/1/2025,Số dư ngày 31/1/2025,2.422.777.398.130,84.705.456.217,74.717.879.508,11.921.866.696,18.604.631.977,2.612.727.232.528,2422777398130.0,84705456217.0,74717879508.0,11921866696.0,18604631977.0,2612727232528.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,,,,,,,
Số dư ngày 01/01/2025,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2025,Số dư ngày 01/01/2025,355.814.334.414,68.239.268.834,42.976.220.385,8.259.722.149,7.865.028.524,483.154.574.306,355814334414.0,68239268834.0,42976220385.0,8259722149.0,7865028524.0,483154574306.0
