row_label_raw,row_label_full,col_0,Nhà xưởngvà vật kiến trúcVND,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",KhácVND,TổngVND,numeric__Nhà xưởngvà vật kiến trúcVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__KhácVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.148.660.136.306,1.757.811.854.547,84.600.654.759,12.771.716.562,4.299.687.041,4.008.144.049.215,2148660136306.0,1757811854547.0,84600654759.0,12771716562.0,4299687041.0,4008144049215.0
Mua sắm trong năm,NGUYÊN GIÁ > Mua sắm trong năm,Mua sắm trong năm,574.000.000,4.129.290.455,1.646.363.636,1.749.656.488,214.450.000,8.313.760.579,574000000.0,4129290455.0,1646363636.0,1749656488.0,214450000.0,8313760579.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.551.043.536,1.710.901.733,-,-,-,4.261.945.269,2551043536.0,1710901733.0,,,,4261945269.0
Tăng từ tài sản cố định thuê tài chính,NGUYÊN GIÁ > Tăng từ tài sản cố định thuê tài chính,Tăng từ tài sản cố định thuê tài chính,-,-,3.746.081.263,-,-,3.746.081.263,,,3746081263.0,,,3746081263.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,(1.002.811.884),893.425.402,109.386.482,-,-,-,-1002811884.0,893425402.0,109386482.0,,,
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(30.757.320),-,(145.008.000),-,(175.765.320),,-30757320.0,,-145008000.0,,-175765320.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.150.782.367.958,1.764.514.714.817,90.102.486.140,14.376.365.050,4.514.137.041,4.024.290.071.006,2150782367958.0,1764514714817.0,90102486140.0,14376365050.0,4514137041.0,4024290071006.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,956.526.865.743,1.031.157.947.050,66.856.399.095,11.859.089.187,3.775.818.412,2.070.176.119.487,956526865743.0,1031157947050.0,66856399095.0,11859089187.0,3775818412.0,2070176119487.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,91.521.882.121,98.106.855.531,3.320.280.195,742.857.447,179.538.828,193.871.414.122,91521882121.0,98106855531.0,3320280195.0,742857447.0,179538828.0,193871414122.0
