row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > VNDGiá trịcó thể thu hồi,Số đầu năm > Giá gốc,Số đầu năm > VNDGiá trịcó thể thu hồi,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > VNDGiá trịcó thể thu hồi,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > VNDGiá trịcó thể thu hồi
Công ty Cổ phần Bê tông khí Viglacera,Công ty Cổ phần Bê tông khí Viglacera,Công ty Cổ phần Bê tông khí Viglacera,21.132.524.851,2.155.200.840,14.839.211.114,8.330.694.240,21132524851.0,2155200840.0,14839211114.0,8330694240.0
Công ty Cổ phần Tư Văn Viglacera,Công ty Cổ phần Tư Văn Viglacera,Công ty Cổ phần Tư Văn Viglacera,7.464.370.107,1.135.810.379,6.917.340.287,4.322.819.878,7464370107.0,1135810379.0,6917340287.0,4322819878.0
Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,Công ty Cổ phần Phát triển và Kinh doanh nhà Vĩnh Phúc,6.276.862.862,-,6.270.208.412,-,6276862862.0,,6270208412.0,
Công ty TNHH JUNA,Công ty TNHH JUNA,Công ty TNHH JUNA,5.191.824.617,2.595.912.308,5.191.824.617,5.191.824.617,5191824617.0,2595912308.0,5191824617.0,5191824617.0
Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,Công ty Cổ phần Bá Hiển,4.908.189.208,5.969.700,4.908.189.208,26.385.150,4908189208.0,5969700.0,4908189208.0,26385150.0
Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,Công ty Cổ phần Gạch chịu lửa Cầu Đường,3.747.725.881,4.422.000,3.747.725.881,7.370.000,3747725881.0,4422000.0,3747725881.0,7370000.0
Công ty Cổ phần Gốm Xây dựng Hữu Hưng,Công ty Cổ phần Gốm Xây dựng Hữu Hưng,Công ty Cổ phần Gốm Xây dựng Hữu Hưng,2.697.700.853,12.065.900,2.697.700.853,22.869.550,2697700853.0,12065900.0,2697700853.0,22869550.0
Công ty Cổ phần Tập đoàn FLC,Công ty Cổ phần Tập đoàn FLC,Công ty Cổ phần Tập đoàn FLC,2.769.083.558,-,2.769.083.558,-,2769083558.0,,2769083558.0,
Công ty Cổ phần Tư vấn Viglacera Land,Công ty Cổ phần Tư vấn Viglacera Land,Công ty Cổ phần Tư vấn Viglacera Land,2.454.515.942,-,2.454.515.942,2.454.515.942,2454515942.0,,2454515942.0,2454515942.0
Công ty Cổ phần Đầu tư Cơ khí và Xây dựng Hà Nội,Công ty Cổ phần Đầu tư Cơ khí và Xây dựng Hà Nội,Công ty Cổ phần Đầu tư Cơ khí và Xây dựng Hà Nội,2.097.698.828,-,3.710.268.505,-,2097698828.0,,3710268505.0,
Công ty Cổ phần Gốm Xây dựng Bìm Sơn,Công ty Cổ phần Gốm Xây dựng Bìm Sơn,Công ty Cổ phần Gốm Xây dựng Bìm Sơn,1.502.903.936,-,1.502.903.936,-,1502903936.0,,1502903936.0,
Công ty Thương mại Huy Hùng,Công ty Thương mại Huy Hùng,Công ty Thương mại Huy Hùng,1.415.260.168,-,1.415.260.168,-,1415260168.0,,1415260168.0,
Công ty Cổ phần 382 Đông Anh,Công ty Cổ phần 382 Đông Anh,Công ty Cổ phần 382 Đông Anh,1.204.638.900,11.011.000,1.188.908.900,4.496.250,1204638900.0,11011000.0,1188908900.0,4496250.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,37.259.282.746,4.541.981.499,21.153.671.612,-,37259282746.0,4541981499.0,21153671612.0,
,,,100.122.582.457,10.462.373.626,78.766.812.993,20.360.975.627,100122582457.0,10462373626.0,78766812993.0,20360975627.0
Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,Tổng giá trị dự phòng đã trích lập,,89.660.208.831,,58.405.837.366,,89660208831.0,,58405837366.0
