row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
C.,C.,C.,Nợ PHẢI TRẢ,300,,8.007.099.709.737,7.379.098.329.790,,300.0,,8007099709737.0,7379098329790.0
I.,I.,I.,Nợ ngắn hạn,310,,4.763.045.043.445,4.136.702.208.570,,310.0,,4763045043445.0,4136702208570.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,18,531.893.894.792,613.163.785.088,,311.0,18.0,531893894792.0,613163785088.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,19,2.310.308.378.431,1.990.592.438.829,,312.0,19.0,2310308378431.0,1990592438829.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,20,143.804.685.958,144.044.171.765,,313.0,20.0,143804685958.0,144044171765.0
4.,4.,4.,Phải trả người lao động,314,,117.517.008.607,101.354.986.103,,314.0,,117517008607.0,101354986103.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,21,823.728.357.738,575.567.889.146,,315.0,21.0,823728357738.0,575567889146.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,22,57.282.353.786,66.033.837.059,,318.0,22.0,57282353786.0,66033837059.0
7.,7.,7.,Phải trả ngắn hạn khác,319,23,495.854.572.360,328.692.422.787,,319.0,23.0,495854572360.0,328692422787.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,24,103.149.235.177,129.834.754.584,,320.0,24.0,103149235177.0,129834754584.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,26,114.200.238.969,131.722.153.218,,321.0,26.0,114200238969.0,131722153218.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,27,65.306.317.627,55.695.769.991,,322.0,27.0,65306317627.0,55695769991.0
II.,II.,II.,Nợ dài hạn,330,,3.244.054.666.292,3.242.396.121.220,,330.0,,3244054666292.0,3242396121220.0
1.,1.,1.,Chi phí phải trả dài hạn,333,21,-,629.751.730,,333.0,21.0,,629751730.0
2.,2.,2.,Doanh thu chưa thực hiện dài hạn,336,22,2.722.979.661.636,2.792.746.380.532,,336.0,22.0,2722979661636.0,2792746380532.0
3.,3.,3.,Phải trả dài hạn khác,337,23,21.276.086.607,19.408.563.352,,337.0,23.0,21276086607.0,19408563352.0
4.,4.,4.,Vay và nợ thuê tài chính dài hạn,338,25,63.620.498.247,132.022.595.140,,338.0,25.0,63620498247.0,132022595140.0
5.,5.,5.,Dự phòng phải trả dài hạn,342,26,221.058.049.893,171.635.229.962,,342.0,26.0,221058049893.0,171635229962.0
6.,6.,6.,Quỹ phát triển khoa học và công nghệ,343,28,215.120.369.909,125.953.600.504,,343.0,28.0,215120369909.0,125953600504.0
