row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > VND Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND Số có khả năng trả nợ
Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,Công ty TNHH Thiết bị Hệ thống L.P.G,42.790.413.623,42.790.413.623,20.717.376.256,20.717.376.256,42790413623.0,42790413623.0,20717376256.0,20717376256.0
Công ty Cổ phần Đầu tư và Khai thác Ninh Giang,Công ty Cổ phần Đầu tư và Khai thác Ninh Giang,Công ty Cổ phần Đầu tư và Khai thác Ninh Giang,36.264.155.224,36.264.155.224,97.630.066.453,97.630.066.453,36264155224.0,36264155224.0,97630066453.0,97630066453.0
Công ty TNHH Xây dựng Tiên Du,Công ty TNHH Xây dựng Tiên Du,Công ty TNHH Xây dựng Tiên Du,18.538.553.540,18.538.553.540,39.892.118.042,39.892.118.042,18538553540.0,18538553540.0,39892118042.0,39892118042.0
Công ty TNHH Xây dựng và Thương mại Nam Thịnh,Công ty TNHH Xây dựng và Thương mại Nam Thịnh,Công ty TNHH Xây dựng và Thương mại Nam Thịnh,14.772.033.391,14.772.033.391,-,-,14772033391.0,14772033391.0,,
Công ty Cổ phần 513,Công ty Cổ phần 513,Công ty Cổ phần 513,9.181.199.237,9.181.199.237,11.539.576.997,11.539.576.997,9181199237.0,9181199237.0,11539576997.0,11539576997.0
Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,Công ty TNHH Ecoba Công nghệ Môi trường,4.281.774.615,4.281.774.615,17.746.855.733,17.746.855.733,4281774615.0,4281774615.0,17746855733.0,17746855733.0
Công ty TNHH Đầu tư xây dựng và Công nghệ môi trường Dương Nhật,Công ty TNHH Đầu tư xây dựng và Công nghệ môi trường Dương Nhật,Công ty TNHH Đầu tư xây dựng và Công nghệ môi trường Dương Nhật,-,-,18.577.904.000,18.577.904.000,,,18577904000.0,18577904000.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,406.065.765.162,406.065.765.162,407.059.887.607,407.059.887.607,406065765162.0,406065765162.0,407059887607.0,407059887607.0
,,,531.893.894.792,531.893.894.792,613.163.785.088,613.163.785.088,531893894792.0,531893894792.0,613163785088.0,613163785088.0
Trong đó: Phải trả người bán là các bên liên quan (Chi tiết tại Thuyết minh số 41),Trong đó: Phải trả người bán là các bên liên quan (Chi tiết tại Thuyết minh số 41),Trong đó: Phải trả người bán là các bên liên quan (Chi tiết tại Thuyết minh số 41),34.245.391.155,34.245.391.155,20.842.979.930,20.842.979.930,34245391155.0,34245391155.0,20842979930.0,20842979930.0
