row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Quỹ Đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ Đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),Số dư đầu năm trước (Trình bày lại),4.483.500.000.000,931.212.247.586,89.987.989.240,643.319.111.927,6.148.019.348.753,4483500000000.0,931212247586.0,89987989240.0,643319111927.0,6148019348753.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,606.461.155.044,606.461.155.044,,,,606461155044.0,606461155044.0
Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,Trích Quỹ Đầu tư phát triển,-,-,44.270.882.809,(44.270.882.809),-,,,44270882809.0,-44270882809.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch,-,-,-,(40.585.050.000),(40.585.050.000),,,,-40585050000.0,-40585050000.0
Dự phòng phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Dự phòng phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Dự phòng phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,(7.708.124.114),(7.708.124.114),,,,-7708124114.0,-7708124114.0
Điều chính tăng vốn Nhà nước tại thời điểm chuyển sang Công ty Cổ phần,Điều chính tăng vốn Nhà nước tại thời điểm chuyển sang Công ty Cổ phần,Điều chính tăng vốn Nhà nước tại thời điểm chuyển sang Công ty Cổ phần,-,-,-,(10.112.831.024),(10.112.831.024),,,,-10112831024.0,-10112831024.0
Trả cổ tức,Trả cổ tức,Trả cổ tức,-,-,-,(493.185.000.000),(493.185.000.000),,,,-493185000000.0,-493185000000.0
Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),Số dư đầu năm nay (Trình bày lại),4.483.500.000.000,931.212.247.586,134.258.872.049,653.918.379.024,6.202.889.498.659,4483500000000.0,931212247586.0,134258872049.0,653918379024.0,6202889498659.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,933.196.183.322,933.196.183.322,,,,933196183322.0,933196183322.0
Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),Trích Quỹ Đầu tư phát triển (i),-,-,41.988.082.974,(41.988.082.974),-,,,41988082974.0,-41988082974.0,
Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),Trích Quỹ khen thưởng phúc lợi và Quỹ thường người quản lý hoàn thành kế hoạch (i),-,-,-,(44.427.550.000),(44.427.550.000),,,,-44427550000.0,-44427550000.0
Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,Lãi chậm nộp phải trả về Quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,(292.906.744),(292.906.744),,,,-292906744.0,-292906744.0
Trả cổ tức (i),Trả cổ tức (i),Trả cổ tức (i),-,-,-,(493.185.000.000),(493.185.000.000),,,,-493185000000.0,-493185000000.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.483.500.000.000,931.212.247.586,176.246.955.023,1.007.221.022.628,6.598.180.225.237,4483500000000.0,931212247586.0,176246955023.0,1007221022628.0,6598180225237.0
