row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
,,,VND,VND,,
Dự án Khu công nghiệp Yên Phong II-C (i),Dự án Khu công nghiệp Yên Phong II-C (i),Dự án Khu công nghiệp Yên Phong II-C (i),929.595.928.553,719.763.313.656,929595928553.0,719763313656.0
Dự án Khu công nghiệp Yên Phong mở rộng (ii),Dự án Khu công nghiệp Yên Phong mở rộng (ii),Dự án Khu công nghiệp Yên Phong mở rộng (ii),476.296.805.332,719.410.295.944,476296805332.0,719410295944.0
Dự án Khu công nghiệp Phú Hà giai đoạn I (iii),Dự án Khu công nghiệp Phú Hà giai đoạn I (iii),Dự án Khu công nghiệp Phú Hà giai đoạn I (iii),399.619.644.653,354.775.818.964,399619644653.0,354775818964.0
Dự án Khu công nghiệp Thuận Thành giai đoạn I (iv),Dự án Khu công nghiệp Thuận Thành giai đoạn I (iv),Dự án Khu công nghiệp Thuận Thành giai đoạn I (iv),288.880.273.973,-,288880273973.0,
Dự án Khu công nghiệp Đông Mai (v),Dự án Khu công nghiệp Đông Mai (v),Dự án Khu công nghiệp Đông Mai (v),237.325.011.098,350.326.001.615,237325011098.0,350326001615.0
Dự án Khu công nghiệp Tiền Hải - Thái Bình (vi),Dự án Khu công nghiệp Tiền Hải - Thái Bình (vi),Dự án Khu công nghiệp Tiền Hải - Thái Bình (vi),182.107.799.089,315.947.560.027,182107799089.0,315947560027.0
"Dự án Khu công nghiệp Phong Điền - Viglacera, Huế (vii)","Dự án Khu công nghiệp Phong Điền - Viglacera, Huế (vii)","Dự án Khu công nghiệp Phong Điền - Viglacera, Huế (vii)",142.011.470.535,87.951.301.398,142011470535.0,87951301398.0
Dự án Khu công nghiệp Hải Yên,Dự án Khu công nghiệp Hải Yên,Dự án Khu công nghiệp Hải Yên,91.164.951.985,51.707.528.440,91164951985.0,51707528440.0
Dự án Khu công nghiệp và đô thị Yên Phong,Dự án Khu công nghiệp và đô thị Yên Phong,Dự án Khu công nghiệp và đô thị Yên Phong,46.431.727.504,111.047.671.266,46431727504.0,111047671266.0
Dự án Trạm xử lý nước thải KCN Tiên Sơn (Giai đoạn III),Dự án Trạm xử lý nước thải KCN Tiên Sơn (Giai đoạn III),Dự án Trạm xử lý nước thải KCN Tiên Sơn (Giai đoạn III),43.821.786.892,35.602.033.518,43821786892.0,35602033518.0
Dự án Đầu tư xây dựng Tuyên đường phía Bắc (Tuyến số 1),Dự án Đầu tư xây dựng Tuyên đường phía Bắc (Tuyến số 1),Dự án Đầu tư xây dựng Tuyên đường phía Bắc (Tuyến số 1),38.777.444.525,38.122.971.091,38777444525.0,38122971091.0
Dự án đầu tư xây dựng Trạm xử lý nước thải KCN Tiền Hải (giai đoạn I),Dự án đầu tư xây dựng Trạm xử lý nước thải KCN Tiền Hải (giai đoạn I),Dự án đầu tư xây dựng Trạm xử lý nước thải KCN Tiền Hải (giai đoạn I),47.034.148.374,35.719.069.272,47034148374.0,35719069272.0
Dự án Trạm xử lý nước thải KCN Đồng Văn,Dự án Trạm xử lý nước thải KCN Đồng Văn,Dự án Trạm xử lý nước thải KCN Đồng Văn,42.551.278.830,-,42551278830.0,
Dự án Khu công nghiệp Đồng Văn IV giai đoạn II,Dự án Khu công nghiệp Đồng Văn IV giai đoạn II,Dự án Khu công nghiệp Đồng Văn IV giai đoạn II,29.237.275.210,61.126.453.448,29237275210.0,61126453448.0
Dự án đề tài bê tông khí chung áp,Dự án đề tài bê tông khí chung áp,Dự án đề tài bê tông khí chung áp,29.198.019.144,18.801.774.640,29198019144.0,18801774640.0
Khu công nghiệp Tiên Sơn - Bắc Ninh giai đoạn I và II,Khu công nghiệp Tiên Sơn - Bắc Ninh giai đoạn I và II,Khu công nghiệp Tiên Sơn - Bắc Ninh giai đoạn I và II,14.836.207.865,13.501.409.686,14836207865.0,13501409686.0
Các công trình khác,Các công trình khác,Các công trình khác,102.011.701.254,81.746.943.499,102011701254.0,81746943499.0
,,,3.140.901.474.816,2.995.550.146.464,3140901474816.0,2995550146464.0
