row_label_raw,row_label_full,col_0,Số cuối nămVND,Số đầu năm(Trình bày lại)VND,numeric__Số cuối nămVND,numeric__Số đầu năm(Trình bày lại)VND
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,,
"Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng","a. Ngắn hạn > Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng","Tiền đặt cọc thuê cơ sở hạ tầng khu công nghiệp và mua đất, nhà, thuê mặt bằng của khách hàng",326.685.484.544,141.195.202.033,326685484544.0,141195202033.0
Phải trả các tổ đội thi công,a. Ngắn hạn > Phải trả các tổ đội thi công,Phải trả các tổ đội thi công,68.638.053.954,104.223.622.147,68638053954.0,104223622147.0
Phải trả Bộ Xây dựng kinh phí nguồn sự nghiệp khoa học (i),a. Ngắn hạn > Phải trả Bộ Xây dựng kinh phí nguồn sự nghiệp khoa học (i),Phải trả Bộ Xây dựng kinh phí nguồn sự nghiệp khoa học (i),38.743.400.841,38.743.400.841,38743400841.0,38743400841.0
Tiền đặt cọc thực hiện hợp đồng,a. Ngắn hạn > Tiền đặt cọc thực hiện hợp đồng,Tiền đặt cọc thực hiện hợp đồng,25.057.182.201,-,25057182201.0,
Phải trả khác khách hàng mua nhà,a. Ngắn hạn > Phải trả khác khách hàng mua nhà,Phải trả khác khách hàng mua nhà,7.369.986.709,10.427.983.520,7369986709.0,10427983520.0
Các khoản trích theo lương,a. Ngắn hạn > Các khoản trích theo lương,Các khoản trích theo lương,1.097.095.104,3.436.376.154,1097095104.0,3436376154.0
"Cổ tức, lợi nhuận phải trả","a. Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",1.843.999.250,2.305.559.252,1843999250.0,2305559252.0
Tiền thuê đất của các nhà đầu tư thứ cấp tại các Khu công nghiệp chưa ghi nhận thu nhập do chưa thu được bằng tiền,a. Ngắn hạn > Tiền thuê đất của các nhà đầu tư thứ cấp tại các Khu công nghiệp chưa ghi nhận thu nhập do chưa thu được bằng tiền,Tiền thuê đất của các nhà đầu tư thứ cấp tại các Khu công nghiệp chưa ghi nhận thu nhập do chưa thu được bằng tiền,-,5.294.439.176,,5294439176.0
"Nhận ký quỹ, ký cược ngắn hạn","a. Ngắn hạn > Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",408.504.000,519.930.000,408504000.0,519930000.0
Các khoản phải trả khác,a. Ngắn hạn > Các khoản phải trả khác,Các khoản phải trả khác,26.010.865.757,22.545.909.664,26010865757.0,22545909664.0
,,,495.854.572.360,328.692.422.787,495854572360.0,328692422787.0
b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,b. Dải hạn,,
"Nhận ký quỹ, ký cược dài hạn","b. Dải hạn > Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",21.276.086.607,19.408.563.352,21276086607.0,19408563352.0
,,,21.276.086.607,19.408.563.352,21276086607.0,19408563352.0
Trong đó: Trả trước ngắn hạn từ các bên liên quan(Chi tiết tại Thuyết minh số 41),b. Dải hạn > Trong đó: Trả trước ngắn hạn từ các bên liên quan(Chi tiết tại Thuyết minh số 41),Trong đó: Trả trước ngắn hạn từ các bên liên quan(Chi tiết tại Thuyết minh số 41),663.200.500,-,663200500.0,
