row_label_raw,row_label_full,col_0,Máy móc thiết bị VND,Phương tiện vận tải VND,Tổng VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,-,8.663.129.491,8.663.129.491,,8663129491.0,8663129491.0
Thuê tài chính trong năm,NGUYÊN GIÁ > Thuê tài chính trong năm,Thuê tài chính trong năm,5.281.454.545,3.599.655.000,8.881.109.545,5281454545.0,3599655000.0,8881109545.0
Chuyển sang Tài sản cố định hữu hình,NGUYÊN GIÁ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,-,(3.971.939.035),(3.971.939.035),,-3971939035.0,-3971939035.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,5.281.454.545,8.290.845.456,13.572.300.001,5281454545.0,8290845456.0,13572300001.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,4.444.865.299,4.444.865.299,,4444865299.0,4444865299.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,364.121.212,1.275.039.982,1.639.161.194,364121212.0,1275039982.0,1639161194.0
Chuyển sang Tài sản cố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang Tài sản cố định hữu hình,Chuyển sang Tài sản cố định hữu hình,-,(2.839.774.647),(2.839.774.647),,-2839774647.0,-2839774647.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,364.121.212,2.880.130.634,3.244.251.846,364121212.0,2880130634.0,3244251846.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,-,4.218.264.192,4.218.264.192,,4218264192.0,4218264192.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,4.917.333.333,5.410.714.822,10.328.048.155,4917333333.0,5410714822.0,10328048155.0
