row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
B.,B.,B.,TÀI SẢN DÀI HẠN,200,,9.694.201.007.126,9.409.507.091.075,,200.0,,9694201007126.0,9409507091075.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,247.465.645.602,207.605.494.455,,210.0,,247465645602.0,207605494455.0
1.,1.,1.,Phải thu dài hạn khác,216,8,247.465.645.602,207.605.494.455,,216.0,8.0,247465645602.0,207605494455.0
II.,II.,II.,Tài sản cố định,220,,1.902.491.428.653,2.082.435.248.337,,220.0,,1902491428653.0,2082435248337.0
1.,1.,1.,Tài sản cố định hữu hình,221,11,1.754.992.531.099,1.937.967.929.728,,221.0,11.0,1754992531099.0,1937967929728.0
1.,1.,1.,- Nguyên giá,222,,4.024.290.071.006,4.008.144.049.215,,222.0,,4024290071006.0,4008144049215.0
1.,1.,1.,- Giá trị hao mòn lũy kế,223,,(2.269.297.539.907),(2.070.176.119.487),,223.0,,-2269297539907.0,-2070176119487.0
2.,2.,2.,Tài sản cố định thuê tài chính,224,12,10.328.048.155,4.218.264.192,,224.0,12.0,10328048155.0,4218264192.0
2.,2.,2.,- Nguyên giá,225,,13.572.300.001,8.663.129.491,,225.0,,13572300001.0,8663129491.0
2.,2.,2.,- Giá trị hao mòn lũy kế,226,,(3.244.251.846),(4.444.865.299),,226.0,,-3244251846.0,-4444865299.0
3.,3.,3.,Tài sản cố định vô hình,227,13,137.170.849.399,140.249.054.417,,227.0,13.0,137170849399.0,140249054417.0
3.,3.,3.,- Nguyên giá,228,,168.284.167.812,168.284.167.812,,228.0,,168284167812.0,168284167812.0
3.,3.,3.,- Giá trị hao mòn lũy kế,229,,(31.113.318.413),(28.035.113.395),,229.0,,-31113318413.0,-28035113395.0
III.,III.,III.,Bất động sản đầu tư,230,14,1.947.491.433.020,2.133.472.441.367,,230.0,14.0,1947491433020.0,2133472441367.0
III.,III.,III.,- Nguyên giá,231,,7.703.804.763.543,6.324.396.437.156,,231.0,,7703804763543.0,6324396437156.0
III.,III.,III.,- Giá trị hao mòn lũy kế,232,,(5.756.313.330.523),(4.190.923.995.789),,232.0,,-5756313330523.0,-4190923995789.0
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,15,3.140.901.474.816,2.995.550.146.464,,240.0,15.0,3140901474816.0,2995550146464.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,3.140.901.474.816,2.995.550.146.464,,242.0,,3140901474816.0,2995550146464.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5,2.276.406.185.653,1.786.321.466.677,,250.0,5.0,2276406185653.0,1786321466677.0
1.,1.,1.,Đầu tư vào công ty con,251,,2.202.311.778.931,1.362.780.275.905,,251.0,,2202311778931.0,1362780275905.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,430.079.247.897,734.873.576.040,,252.0,,430079247897.0,734873576040.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,8.242.682.344,8.242.682.344,,253.0,,8242682344.0,8242682344.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(364.309.823.519),(319.657.367.612),,254.0,,-364309823519.0,-319657367612.0
5.,5.,5.,Đầu tư nằm giữ đến ngày đáo hạn,255,,82.300.000,82.300.000,,255.0,,82300000.0,82300000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,179.444.839.382,204.122.293.775,,260.0,,179444839382.0,204122293775.0
1.,1.,1.,Chi phí trả trước dài hạn,261,16,174.226.132.813,201.481.255.202,,261.0,16.0,174226132813.0,201481255202.0
2.,2.,2.,Tài sản thuê thu nhập hoãn lại,262,17,5.218.706.569,2.641.038.573,,262.0,17.0,5218706569.0,2641038573.0
,,,TỔNG CỘNG TÀI SẢN (270=100+200),,,14.649.159.889.802,13.627.695.072.727,,,,14649159889802.0,13627695072727.0
