row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
I.,I.,I.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,1.148.943.437.441,735.895.474.057,,1.0,1148943437441.0,735895474057.0
2.,I. > 2.,2.,Điều chỉnh cho các khoản:Khẩu hao tài sản cố định và bất động sản đầu tư,02,1.772.170.237.350,990.300.997.239,,2.0,1772170237350.0,990300997239.0
2.,I. > 2.,2.,Các khoản dự phòng,03,142.057.652.615,74.515.685.597,,3.0,142057652615.0,74515685597.0
2.,I. > 2.,2.,Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ(Lãi) từ hoạt động đầu tư,04,1.482.651.231,2.061.767.384,,4.0,1482651231.0,2061767384.0
2.,I. > 2.,2.,Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ(Lãi) từ hoạt động đầu tư,05,(80.154.230.880),(124.621.589.622),,5.0,-80154230880.0,-124621589622.0
2.,I. > 2.,2.,Chi phí lãi vay,06,15.351.999.211,25.020.530.142,,6.0,15351999211.0,25020530142.0
2.,I. > 2.,2.,Các khoản điều chỉnh khác,07,100.000.000.000,50.000.000.000,,7.0,100000000000.0,50000000000.0
3.,I. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,3.099.851.746.968,1.753.172.864.797,,8.0,3099851746968.0,1753172864797.0
3.,I. > 3.,3.,Thay đổi các khoản phải thu,09,(25.880.124.737),47.033.724.878,,9.0,-25880124737.0,47033724878.0
3.,I. > 3.,3.,Thay đổi hàng tồn kho,10,187.232.136.359,(44.619.824.311),,10.0,187232136359.0,-44619824311.0
3.,I. > 3.,3.,"Thay đổi các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp",11,1.016.951.783.493,670.825.330.172,,11.0,1016951783493.0,670825330172.0
3.,I. > 3.,3.,Thay đổi chi phí trả trước,12,(10.563.182.690),32.671.643.218,,12.0,-10563182690.0,32671643218.0
3.,I. > 3.,3.,Tiền lãi vay đã trả,14,(15.615.372.877),(25.471.777.901),,14.0,-15615372877.0,-25471777901.0
3.,I. > 3.,3.,Thuế thu nhập doanh nghiệp đã nộp,15,(257.080.572.935),(128.385.944.464),,15.0,-257080572935.0,-128385944464.0
3.,I. > 3.,3.,Tiền chi khác cho hoạt động kinh doanh,17,(74.566.904.799),(32.682.169.921),,17.0,-74566904799.0,-32682169921.0
3.,I. > 3.,3.,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,3.920.329.508.782,2.272.543.846.468,,20.0,3920329508782.0,2272543846468.0
II.,II.,II.,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYẾN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,(2.065.187.654.792),(2.266.855.999.324),,21.0,-2065187654792.0,-2266855999324.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,-,1.538.844.545,,22.0,,1538844545.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,(15.000.000.000),-,,23.0,-15000000000.0,
4.,II. > 4.,4.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,(631.283.130.883),(230.081.273.402),,25.0,-631283130883.0,-230081273402.0
5.,II. > 5.,5.,Tiền thu hồi đầu tư vốn vào đơn vị khác,26,-,9.665.850.100,,26.0,,9665850100.0
6.,II. > 6.,6.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,79.649.896.900,122.294.903.277,,27.0,79649896900.0,122294903277.0
6.,II. > 6.,6.,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(2.631.820.888.775),(2.363.437.674.804),,30.0,-2631820888775.0,-2363437674804.0
