row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
III.,III.,III.,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,68.067.281.287,502.560.148.597,,33.0,68067281287.0,502560148597.0
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,(161.475.128.907),(677.377.670.449),,34.0,-161475128907.0,-677377670449.0
3.,III. > 3.,3.,Tiền trả nợ gốc thuê tài chính,35,(1.679.768.680),(2.337.279.992),,35.0,-1679768680.0,-2337279992.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(492.857.018.185),(492.733.334.500),,36.0,-492857018185.0,-492733334500.0
,,,Lưu chuyển tiền thuần từ hoạt độngtài chính,40,(587.944.634.485),(669.888.136.344),,40.0,-587944634485.0,-669888136344.0
,,,Lưu chuyển tiền thuần trong năm (50=20+30+40),50,700.563.985.522,(760.781.964.680),,50.0,700563985522.0,-760781964680.0
,,,Tiền và tương đương tiền đầu năm,60,1.320.550.312.115,2.083.394.044.179,,60.0,1320550312115.0,2083394044179.0
,,,Ảnh hưởng của thay đối tỷ giá hối đoái quy đổi ngoại tệ,61,(1.363.096.273),(2.061.767.384),,61.0,-1363096273.0,-2061767384.0
,,,Tiền và tương đương tiền cuối năm(70=50+60+61),70,2.019.751.201.364,1.320.550.312.115,,70.0,2019751201364.0,1320550312115.0
