row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,4.954.958.882.676,4.218.187.981.652,,100.0,,4954958882676.0,4218187981652.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,2.019.751.201.364,1.320.550.312.115,,110.0,4.0,2019751201364.0,1320550312115.0
1.,1.,1.,Tiền,111,,1.068.001.455.183,764.460.924.756,,111.0,,1068001455183.0,764460924756.0
2.,2.,2.,Các khoản tương đương tiền,112,,951.749.746.181,556.089.387.359,,112.0,,951749746181.0,556089387359.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,15.000.000.000,-,,120.0,,15000000000.0,
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,15.000.000.000,-,,123.0,5.0,15000000000.0,
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,688.248.075.979,615.338.070.693,,130.0,,688248075979.0,615338070693.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,374.303.196.427,428.351.218.847,,131.0,6.0,374303196427.0,428351218847.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,136.899.388.645,118.511.931.265,,132.0,7.0,136899388645.0,118511931265.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,,448.756.747,448.756.747,,135.0,,448756747.0,448756747.0
4.,4.,4.,Phải thu ngắn hạn khác,136,8,266.256.942.991,126.432.001.200,,136.0,8.0,266256942991.0,126432001200.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(89.660.208.831),(58.405.837.366),,137.0,9.0,-89660208831.0,-58405837366.0
IV.,IV.,IV.,Hàng tồn kho,140,10,1.982.843.489.224,2.053.346.815.311,,140.0,10.0,1982843489224.0,2053346815311.0
1.,1.,1.,Hàng tồn kho,141,,2.016.067.018.548,2.087.398.807.524,,141.0,,2016067018548.0,2087398807524.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(33.223.529.324),(34.051.992.213),,149.0,,-33223529324.0,-34051992213.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,249.116.116.109,228.952.783.533,,150.0,,249116116109.0,228952783533.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,16,51.445.366.305,13.627.061.226,,151.0,16.0,51445366305.0,13627061226.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,181.290.763.483,167.794.552.842,,152.0,,181290763483.0,167794552842.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,20,16.379.986.321,47.531.169.465,,153.0,20.0,16379986321.0,47531169465.0
