row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo,Trình bày lại,Số sau trình bày lại,Ghi chú,numeric__Mã số,numeric__Số đã báo cáo,numeric__Trình bày lại,numeric__Số sau trình bày lại,numeric__Ghi chú
,,,,VND,VND,VND,,,,,,
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,15.332.200.216,(14.883.443.469),448.756.747,(iii),135.0,15332200216.0,-14883443469.0,448756747.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,111.548.557.731,14.883.443.469,126.432.001.200,(iii),136.0,111548557731.0,14883443469.0,126432001200.0,
Bắt động sản đầu tư,Bắt động sản đầu tư,Bắt động sản đầu tư,230,5.465.043.588.414,(3.331.571.147.047),2.133.472.441.367,(i),230.0,5465043588414.0,-3331571147047.0,2133472441367.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,231,6.313.460.272.156,10.936.165.000,6.324.396.437.156,,231.0,6313460272156.0,10936165000.0,6324396437156.0,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,232,(848.416.683.742),(3.342.507.312.047),(4.190.923.995.789),,232.0,-848416683742.0,-3342507312047.0,-4190923995789.0,
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,3.010.006.990.723,(14.456.844.259),2.995.550.146.464,(i),242.0,3010006990723.0,-14456844259.0,2995550146464.0,
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,313,120.186.220.356,23.857.951.409,144.044.171.765,(iv),313.0,120186220356.0,23857951409.0,144044171765.0,
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,314,91.627.260.716,9.727.725.387,101.354.986.103,(iii),314.0,91627260716.0,9727725387.0,101354986103.0,
Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,315,586.537.155.191,(10.969.266.045),575.567.889.146,(i),315.0,586537155191.0,-10969266045.0,575567889146.0,
Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,Chi phí phải trả dài hạn,333,3.335.688.476.991,(3.335.058.725.261),629.751.730,(i),333.0,3335688476991.0,-3335058725261.0,629751730.0,
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,319,420.198.466.423,(91.506.043.636),328.692.422.787,(iv),319.0,420198466423.0,-91506043636.0,328692422787.0,
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,321,141.449.878.605,(9.727.725.387),131.722.153.218,(iii),321.0,141449878605.0,-9727725387.0,131722153218.0,
Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,Quỹ phát triển khoa học và công nghệ,343,132.330.347.583,(6.376.747.079),125.953.600.504,(iv),343.0,132330347583.0,-6376747079.0,125953600504.0,
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,579.893.539.718,74.024.839.306,653.918.379.024,(iv),421.0,579893539718.0,74024839306.0,653918379024.0,
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,421a,(26.567.615.326),74.024.839.306,47.457.223.980,,,-26567615326.0,74024839306.0,47457223980.0,
