row_label_raw,row_label_full,Bảng cân đối kế toán riêng,Bảng cân đối kế toán riêng_1,Bảng cân đối kế toán riêng_2,Bảng cân đối kế toán riêng_3,Bảng cân đối kế toán riêng_4,Bảng cân đối kế toán riêng_5,Bảng cân đối kế toán riêng_6,numeric__Bảng cân đối kế toán riêng_1,numeric__Bảng cân đối kế toán riêng_2,numeric__Bảng cân đối kế toán riêng_3,numeric__Bảng cân đối kế toán riêng_4,numeric__Bảng cân đối kế toán riêng_5,numeric__Bảng cân đối kế toán riêng_6
,,,"Kinh doanh, cho thuê, quản lý vận hành bất động sản và xây dựng","Sản xuất và kinh doanh kính, gưỡng","Sản xuất và kinh doanh sữ, sen vòi",Thương mại và dịch vụ khác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,13.319.317.567.975,973.462.684.238,1.024.606.729.113,22.380.911.897,(3.498.394.287.173),11.841.373.606.050,13319317567975.0,973462684238.0,1024606729113.0,22380911897.0,-3498394287173.0,11841373606050.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,1.786.321.466.677,,,,,,1786321466677.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,13.319.317.567.975,973.462.684.238,1.024.606.729.113,22.380.911.897,(3.498.394.287.173),13.627.695.072.727,13319317567975.0,973462684238.0,1024606729113.0,22380911897.0,-3498394287173.0,13627695072727.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,(9.050.999.788.696),(866.095.425.468),(999.202.810.403),(15.101.321.955),3.552.301.016.732,(7.379.098.329.790),-9050999788696.0,-866095425468.0,-999202810403.0,-15101321955.0,3552301016732.0,-7379098329790.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,(9.050.999.788.696),(866.095.425.468),(999.202.810.403),(15.101.321.955),3.552.301.016.732,(7.379.098.329.790),-9050999788696.0,-866095425468.0,-999202810403.0,-15101321955.0,3552301016732.0,-7379098329790.0
Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,Báo cáo kết quả kinh doanh riêng,,,,,,
,,,"Kinh doanh, cho thuê, quản lý vận hành bất động sản và xây dựng","Sản xuất và kinh doanh kính, gưỡng","Sản xuất và kinh doanh sữ, sen vòi",Thương mại và dịch vụ khác,Loại trừ nội bộ,Tổng cộng các bộ phận,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Báo cáo kết quả kinh doanh riêng > Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,2.406.258.626.999,841.931.464.821,608.246.021.012,61.251.372.839,-,3.917.687.485.671,2406258626999.0,841931464821.0,608246021012.0,61251372839.0,,3917687485671.0
Doanh thu thuần từ bán hàng cho các bộ phận khác,Báo cáo kết quả kinh doanh riêng > Doanh thu thuần từ bán hàng cho các bộ phận khác,Doanh thu thuần từ bán hàng cho các bộ phận khác,1.565.821.790.127,3.325.079.142,27.834.868.628,103.587.943.852,(1.700.569.681.749),-,1565821790127.0,3325079142.0,27834868628.0,103587943852.0,-1700569681749.0,
Tổng doanh thu,Báo cáo kết quả kinh doanh riêng > Tổng doanh thu,Tổng doanh thu,3.972.080.417.126,845.256.543.963,636.080.889.640,164.839.316.691,(1.700.569.681.749),3.917.687.485.671,3972080417126.0,845256543963.0,636080889640.0,164839316691.0,-1700569681749.0,3917687485671.0
Chi phí hoạt động kinh doanh,Báo cáo kết quả kinh doanh riêng > Chi phí hoạt động kinh doanh,Chi phí hoạt động kinh doanh,3.473.292.268.391,719.079.403.227,603.254.394.144,30.186.452.442,(1.990.005.413.735),2.835.807.104.469,3473292268391.0,719079403227.0,603254394144.0,30186452442.0,-1990005413735.0,2835807104469.0
