row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Bản quyền, bằng sáng chế",Phần mềm máy tính,"Chi phí đền bù, san lắp mặt bằng",Tổng,numeric__Quyền sử dụng đất,"numeric__Bản quyền, bằng sáng chế",numeric__Phần mềm máy tính,"numeric__Chi phí đền bù, san lắp mặt bằng",numeric__Tổng
,,,VND,VND,VND,VND,VND,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,68.545.687.797,3.305.486.937,3.173.288.914,93.259.704.164,168.284.167.812,68545687797.0,3305486937.0,3173288914.0,93259704164.0,168284167812.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,68.545.687.797,3.305.486.937,3.173.288.914,93.259.704.164,168.284.167.812,68545687797.0,3305486937.0,3173288914.0,93259704164.0,168284167812.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,8.547.030.399,364.503.161,2.940.647.772,16.182.932.063,28.035.113.395,8547030399.0,364503161.0,2940647772.0,16182932063.0,28035113395.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,515.531.976,275.457.252,100.441.994,2.186.773.796,3.078.205.018,515531976.0,275457252.0,100441994.0,2186773796.0,3078205018.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,9.062.562.375,639.960.413,3.041.089.766,18.369.705.859,31.113.318.413,9062562375.0,639960413.0,3041089766.0,18369705859.0,31113318413.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,59.998.657.398,2.940.983.776,232.641.142,77.076.772.101,140.249.054.417,59998657398.0,2940983776.0,232641142.0,77076772101.0,140249054417.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,59.483.125.422,2.665.526.524,132.199.148,74.889.998.305,137.170.849.399,59483125422.0,2665526524.0,132199148.0,74889998305.0,137170849399.0
