row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Dự phòng_1,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Dự phòng_1,numeric__Số đầu năm > Giá trị hợp lý
b. Đầu tư vào công ty con,b. Đầu tư vào công ty con,b. Đầu tư vào công ty con,2.202.311.778.931,(361.683.133.316),,1.362.780.275.905,(317.030.677.409),,2202311778931.0,-361683133316.0,,1362780275905.0,-317030677409.0,
Công ty Cổ phần Kính Đáp Cầu (ii),Công ty Cổ phần Kính Đáp Cầu (ii),Công ty Cổ phần Kính Đáp Cầu (ii),280.645.000.000,(255.265.166.107),202.195.500.000,280.645.000.000,(225.373.697.340),108.874.500.000,280645000000.0,-255265166107.0,202195500000.0,280645000000.0,-225373697340.0,108874500000.0
Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,Công ty TNHH Kính nổi siêu trắng Phú Mỹ,660.100.000.000,-,,-,-,,660100000000.0,,,,,
Công ty Cổ phần Viglacera Vân Hải (i),Công ty Cổ phần Viglacera Vân Hải (i),Công ty Cổ phần Viglacera Vân Hải (i),281.981.631.563,-,,281.981.631.563,-,,281981631563.0,,,281981631563.0,,
Công ty Cổ phần Khoáng sản Viglacera (ii),Công ty Cổ phần Khoáng sản Viglacera (ii),Công ty Cổ phần Khoáng sản Viglacera (ii),7.447.460.436,-,14.088.750.000,7.447.460.436,-,13.897.500.000,7447460436.0,,14088750000.0,7447460436.0,,13897500000.0
Công ty Cổ phần Việt Trì Viglacera (i),Công ty Cổ phần Việt Trì Viglacera (i),Công ty Cổ phần Việt Trì Viglacera (i),29.999.243.861,-,,29.999.243.861,-,,29999243861.0,,,29999243861.0,,
Công ty Cổ phần Sử Viglacera Thanh Trì (ii),Công ty Cổ phần Sử Viglacera Thanh Trì (ii),Công ty Cổ phần Sử Viglacera Thanh Trì (ii),39.898.908.925,-,47.222.000.000,39.898.908.925,-,60.444.160.000,39898908925.0,,47222000000.0,39898908925.0,,60444160000.0
Công ty Cổ phần Thương mại Viglacera (i),Công ty Cổ phần Thương mại Viglacera (i),Công ty Cổ phần Thương mại Viglacera (i),22.171.173.381,(12.791.233.731),,22.171.173.381,(2.523.549.528),,22171173381.0,-12791233731.0,,22171173381.0,-2523549528.0,
Công ty Cổ phần Viglacera Thắng Long (ii),Công ty Cổ phần Viglacera Thắng Long (ii),Công ty Cổ phần Viglacera Thắng Long (ii),21.420.000.000,-,52.479.000.000,21.420.000.000,-,34.272.000.000,21420000000.0,,52479000000.0,21420000000.0,,34272000000.0
Công ty Cổ phần Viglacera Tiên Sơn (iii),Công ty Cổ phần Viglacera Tiên Sơn (iii),Công ty Cổ phần Viglacera Tiên Sơn (iii),245.248.800.000,-,632.400.000.000,89.698.800.000,-,156.136.500.000,245248800000.0,,632400000000.0,89698800000.0,,156136500000.0
