row_label_raw,row_label_full,Ông Trần Mạnh Hữu > Bà Phạm Ngọc Bích,Trường ban (bổ nhiệm ngày 27 tháng 4 năm 2021) > Trường ban (miễn nhiệm ngày 27 tháng 4 năm 2021),numeric__Trường ban (bổ nhiệm ngày 27 tháng 4 năm 2021) > Trường ban (miễn nhiệm ngày 27 tháng 4 năm 2021)
Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Bà Nguyễn Thị Cẩm Vân,Thành viên,
Bà Nguyễn Thị Thanh Yến,Bà Nguyễn Thị Thanh Yến,Bà Nguyễn Thị Thanh Yến,Thành viên,
