row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước(Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước(Trình bày lại)
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,33,5.560.382.964.618,3.917.981.079.954,,1.0,33.0,5560382964618.0,3917981079954.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,33,1.226.129.371,293.594.283,,2.0,33.0,1226129371.0,293594283.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,,5.559.156.835.247,3.917.687.485.671,,10.0,,5559156835247.0,3917687485671.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,34,3.853.698.457.512,2.835.807.104.469,,11.0,34.0,3853698457512.0,2835807104469.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,1.705.458.377.735,1.081.880.381.202,,20.0,,1705458377735.0,1081880381202.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,36,82.783.634.372,127.224.127.398,,21.0,36.0,82783634372.0,127224127398.0
7.,7.,7.,Chi phí tài chính,22,37,80.044.733.867,55.727.316.898,,22.0,37.0,80044733867.0,55727316898.0
,,,- Trong đó: Chi phí lãi vay,23,,15.351.999.211,25.020.530.142,,23.0,,15351999211.0,25020530142.0
8.,8.,8.,Chi phí bán hàng,25,38,150.154.315.273,118.454.613.163,,25.0,38.0,150154315273.0,118454613163.0
9.,9.,9.,Chi phí quản lý doanh nghiệp,26,38,422.564.545.000,300.684.291.947,,26.0,38.0,422564545000.0,300684291947.0
10.,10.,10.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,1.135.478.417.967,734.238.286.592,,30.0,,1135478417967.0,734238286592.0
11.,11.,11.,Thu nhập khác,31,,36.763.394.276,17.184.315.376,,31.0,,36763394276.0,17184315376.0
12.,12.,12.,Chi phí khác,32,,23.298.374.802,15.527.127.911,,32.0,,23298374802.0,15527127911.0
13.,13.,13.,Lợi nhuận khác (40=31-32),40,,13.465.019.474,1.657.187.465,,40.0,,13465019474.0,1657187465.0
14.,14.,14.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,1.148.943.437.441,735.895.474.057,,50.0,,1148943437441.0,735895474057.0
15.,15.,15.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,39,218.324.922.116,132.075.357.586,,51.0,39.0,218324922116.0,132075357586.0
16.,16.,16.,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,17,(2.577.667.997),(2.641.038.573),,52.0,17.0,-2577667997.0,-2641038573.0
17.,17.,17.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,933.196.183.322,606.461.155.044,,60.0,,933196183322.0,606461155044.0
