row_label_raw,row_label_full,col_0,Kinh doanhchuyếnnhuộng bấtđộng sản,Kinh doanhcho thuê bấtđộng sản đầu tư và các dịch vụ liên quan,"Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",Hoạt động y tế và các dịch vụ liên quan,Hoạt động giáo dục và các dịch vụ liên quan,Hoạt động sản xuất và các hoạt động liên quan,Hoạt động tổng thầu xây dựng và các dịch vụ liên quan,Hoạt động kinh doanh khác,Điều chỉnh và loại trừ,Tổng cộng,numeric__Kinh doanhchuyếnnhuộng bấtđộng sản,numeric__Kinh doanhcho thuê bấtđộng sản đầu tư và các dịch vụ liên quan,"numeric__Kinh doanh dịch vụ khách sạn du lịch, vui chơi giải trí và các dịch vụ liên quan",numeric__Hoạt động y tế và các dịch vụ liên quan,numeric__Hoạt động giáo dục và các dịch vụ liên quan,numeric__Hoạt động sản xuất và các hoạt động liên quan,numeric__Hoạt động tổng thầu xây dựng và các dịch vụ liên quan,numeric__Hoạt động kinh doanh khác,numeric__Điều chỉnh và loại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,93.173.685,3.485.534,8.642.192,4.487.050,5.944.423,49.696.268,14.382.074,9.256.814,-,189.068.040,93173685.0,3485534.0,8642192.0,4487050.0,5944423.0,49696268.0,14382074.0,9256814.0,,189068040.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,330.933,150.700,129.679,10.565,5.584,8.796.384,1.657.503,(11.081.348),-,,330933.0,150700.0,129679.0,10565.0,5584.0,8796384.0,1657503.0,-11081348.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,93.173.685,3.816.467,8.792.892,4.616.729,5.954.988,49.701.852,23.178.458,10.914.317,(11.081.348),189.068.040,93173685.0,3816467.0,8792892.0,4616729.0,5954988.0,49701852.0,23178458.0,10914317.0,-11081348.0,189068040.0
Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),Doanh thu thuần > Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),Kết quả hoạt động kinh doanhKhẩu hao và hao mòn (bao gồm lợi thế thương mại),498.773,978.666,3.602.422,596.894,437.549,15.655.889,242.755,614.176,-,22.627.124,498773.0,978666.0,3602422.0,596894.0,437549.0,15655889.0,242755.0,614176.0,,22627124.0
Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Doanh thu thuần > Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,Phần được chia từ lãi/(lỗ) của công ty liên kết và liên doanh,-,563.740,-,-,-,(52.033),-,337.066,-,848.773,,563740.0,,,,-52033.0,,337066.0,,848773.0
Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Doanh thu thuần > Thu nhập/(lỗ) thuần trước thuế theo bộ phận,Thu nhập/(lỗ) thuần trước thuế theo bộ phận,31.034.296,2.239.450,(1.294.486),(935.198),716.660,(42.199.470),3.982.824,1.134.684,678.320,(4.642.920)21.381.626,31034296.0,2239450.0,-1294486.0,-935198.0,716660.0,-42199470.0,3982824.0,1134684.0,678320.0,
Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,,,,,,,,,,,
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,439.991.559,41.953.431,60.529.482,9.337.292,12.659.643,189.635.180,14.246.962,10.312.837,(30.618.651),748.047.73588.556.168,439991559.0,41953431.0,60529482.0,9337292.0,12659643.0,189635180.0,14246962.0,10312837.0,-30618651.0,7.480477358855616e+16
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,,,,,,,,,,,
Tổng nợ phải trả theo bộ phận,Tài sản không phân bổ > Tổng nợ phải trả theo bộ phận,Tổng nợ phải trả theo bộ phận,295.695.743,23.296.544,11.970.048,2.443.052,4.075.435,57.850.816,37.644.495,1.992.233,(30.618.651),404.349.715278.419.707,295695743.0,23296544.0,11970048.0,2443052.0,4075435.0,57850816.0,37644495.0,1992233.0,-30618651.0,4.043497152784197e+17
Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,Tổng nợ phải trả không phân bổ,,,,,,,,,,,,,,,,,,,,
Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh,Tổng nợ phải trả không phân bổ > Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh,Các thông tin bộ phận khácĐầu tư vào công ty liên kết và liên doanh,-,7.877.783,-,-,-,1.166.003,-,177.960,-,9.221.746,,7877783.0,,,,1166003.0,,177960.0,,9221746.0
Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Tổng nợ phải trả không phân bổ > Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,Chi phí mua sắm TSCĐ và xây dựng cơ bản tăng trong năm,21.808.205,6.291.148,7.796.815,1.130.093,2.197.305,21.921.646,3.111.731,319.911,-,64.576.854,21808205.0,6291148.0,7796815.0,1130093.0,2197305.0,21921646.0,3111731.0,319911.0,,64576854.0
