row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ
Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),Tiền gửi có kỳ hạn (i),5.090.634,5.090.634,2.352.924,2.352.924,5090634.0,5090634.0,2352924.0,2352924.0
Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,Trái phiếu ngắn hạn,-,-,2.277.479,2.277.479,,,2277479.0,2277479.0
Các khoản đầu tư khác,Các khoản đầu tư khác,Các khoản đầu tư khác,-,-,2.368.268,2.368.268,,,2368268.0,2368268.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,5.090.634,5.090.634,6.998.671,6.998.671,5090634.0,5090634.0,6998671.0,6998671.0
