row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Doanh thu chưa thực hiện từ dịch vụ giáo dục,Ngắn hạn > Doanh thu chưa thực hiện từ dịch vụ giáo dục,Doanh thu chưa thực hiện từ dịch vụ giáo dục,2.945.587,2.611.973,2945587.0,2611973.0
"Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,biệt thụ","Ngắn hạn > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,biệt thụ","Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,biệt thụ",344.479,508.312,344479.0,508312.0
"Doanh thu chưa thực hiện từ dịch vụ bảo hành mởrộng, thuê pin xe điện và các dịch vụ liên quan khác","Ngắn hạn > Doanh thu chưa thực hiện từ dịch vụ bảo hành mởrộng, thuê pin xe điện và các dịch vụ liên quan khác","Doanh thu chưa thực hiện từ dịch vụ bảo hành mởrộng, thuê pin xe điện và các dịch vụ liên quan khác",155.995,169.727,155995.0,169727.0
"Doanh thu chưa thực hiện từ dịch vụ quản lý chothuê biết thụ, căn hộ khách sạn","Ngắn hạn > Doanh thu chưa thực hiện từ dịch vụ quản lý chothuê biết thụ, căn hộ khách sạn","Doanh thu chưa thực hiện từ dịch vụ quản lý chothuê biết thụ, căn hộ khách sạn",-,808.621,,808621.0
Doanh thu chưa thực hiện từ dịch vụ khác,Ngắn hạn > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,884.429,116.008,884429.0,116008.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.330.490,4.214.641,4330490.0,4214641.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Doanh thu chưa thực hiện từ dịch vụ bảo hành mởrộng, thuê pin xe điện và các dịch vụ liên quan khác","Dài hạn > Doanh thu chưa thực hiện từ dịch vụ bảo hành mởrộng, thuê pin xe điện và các dịch vụ liên quan khác","Doanh thu chưa thực hiện từ dịch vụ bảo hành mởrộng, thuê pin xe điện và các dịch vụ liên quan khác",2.657.327,1.554.775,2657327.0,1554775.0
Doanh thu chưa thực hiện từ hoạt động tổng thầuxây dựng,Dài hạn > Doanh thu chưa thực hiện từ hoạt động tổng thầuxây dựng,Doanh thu chưa thực hiện từ hoạt động tổng thầuxây dựng,490.199,-,490199.0,
Doanh thu chưa thực hiện từ dịch vụ khách sạn vàgiải trí,Dài hạn > Doanh thu chưa thực hiện từ dịch vụ khách sạn vàgiải trí,Doanh thu chưa thực hiện từ dịch vụ khách sạn vàgiải trí,411.341,403.518,411341.0,403518.0
"Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,biệt thụ","Dài hạn > Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,biệt thụ","Doanh thu chưa thực hiện từ dịch vụ quản lý căn hộ,biệt thụ",288.431,560.176,288431.0,560176.0
"Doanh thu chưa thực hiện từ dịch vụ quản lý chothuê biết thụ, căn hộ khách sạn","Dài hạn > Doanh thu chưa thực hiện từ dịch vụ quản lý chothuê biết thụ, căn hộ khách sạn","Doanh thu chưa thực hiện từ dịch vụ quản lý chothuê biết thụ, căn hộ khách sạn",-,1.263.492,,1263492.0
Doanh thu chưa thực hiện từ dịch vụ khác,Dài hạn > Doanh thu chưa thực hiện từ dịch vụ khác,Doanh thu chưa thực hiện từ dịch vụ khác,520.982,306.993,520982.0,306993.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,4.368.280,4.088.954,4368280.0,4088954.0
