row_label_raw,row_label_full,Tên công ty,Số đầu năm,Đầu tư thêm/Tăng do chuyển từ công ty con trong năm,"Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",Thanh lý đầu tư trong năm,Nhận cổ tức,Số cuối năm,Giá trị hợp lý tại ngày 31 tháng 12 năm 2024,numeric__Số đầu năm,numeric__Đầu tư thêm/Tăng do chuyển từ công ty con trong năm,"numeric__Phân chia lãi/(lỗ) từ các công ty liên kết, liên doanh",numeric__Thanh lý đầu tư trong năm,numeric__Nhận cổ tức,numeric__Số cuối năm,numeric__Giá trị hợp lý tại ngày 31 tháng 12 năm 2024
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,-,7.314.043,563.740,-,-,7.877.783,7.335.314,,7314043.0,563740.0,,,7877783.0,7335314.0
Công ty V-G,Công ty V-G,Công ty V-G,1.218.036,-,(52.033),-,-,1.166.003,(i),1218036.0,,-52033.0,,,1166003.0,
Công ty Tường Phú,Công ty Tường Phú,Công ty Tường Phú,87.307,-,(152),-,-,87.155,(i),87307.0,,-152.0,,,87155.0,
Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,Công ty Giống vật nuôi Hà Nội,47.236,-,-,-,-,47.236,(i),47236.0,,,,,47236.0,
Công ty Genestory,Công ty Genestory,Công ty Genestory,19.996,36.931,(20.790),-,-,36.137,(i),19996.0,36931.0,-20790.0,,,36137.0,
Công ty In sách Việt Nam,Công ty In sách Việt Nam,Công ty In sách Việt Nam,5.491,-,-,-,(281),5.210,(i),5491.0,,,,-281.0,5210.0,
Công ty Aivicam,Công ty Aivicam,Công ty Aivicam,2.828,-,(606),-,-,2.222,(i),2828.0,,-606.0,,,2222.0,
Công ty SDI,Công ty SDI,Công ty SDI,-,8.221.510,402.113,(8.623.623),-,-,,,8221510.0,402113.0,-8623623.0,,,
Công ty VinBrain,Công ty VinBrain,Công ty VinBrain,126.587,-,(43.499),(83.088),-,-,,126587.0,,-43499.0,-83088.0,,,
Công ty VinFA,Công ty VinFA,Công ty VinFA,31.608,-,-,(31.608),-,-,,31608.0,,,-31608.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.539.089,15.572.484,848.773,(8.738.319),(281),9.221.746,,1539089.0,15572484.0,848773.0,-8738319.0,-281.0,9221746.0,
