row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 7.1)
Công ty GSM,Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải thu từ bán hàng,2.188.494,2.295.142,,,2188494.0,2295142.0
Công ty GSM Indonesia,Công ty GSM Indonesia,Công ty GSM Indonesia,Chịu sự kiểm soát chung,Phải thu từ bán hàng,1.325.057,-,,,1325057.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,286.488,-,,,286488.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ cung cấp dịch vụ,40.332,-,,,40332.0,
Công ty V-G,Công ty V-G,Công ty V-G,Công ty liên doanh,Phải thu từ hợp đồng xây dựng,140.534,212.044,,,140534.0,212044.0
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,88.526,-,,,88526.0,
Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Chịu sự kiểm soát chung,Phải thu từ thanh lý tài sản cố định,-,1.642.446,,,,1642446.0
Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Chịu sự kiểm soát chung,Phải thu từ chuyển nhượng cố phần,-,396.165,,,,396165.0
Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Ông Phạm Nhật Vương,Chủ tịch HĐQT Tập đoàn,Phải thu từ chuyển nhượng cố phần,-,210.210,,,,210210.0
Cá nhân số 7,Cá nhân số 7,Cá nhân số 7,Phó chủ tịch HĐQT Tập đoàn,Phải thu từ chuyển nhượng cố phần,-,202.125,,,,202125.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Các bên liên quan khác,Phải thu khác,159.652,130.276,,,159652.0,130276.0
,,,,,4.229.083,5.088.408,,,4229083.0,5088408.0
Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),Phải thu ngắn hạn khác (Thuyết minh số 9),,,,
Công ty V-Green,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Phải thu từ chi hộ,367.122,-,,,367122.0,
Công ty GSM,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải thu từ lãi phạt chậm trả,154.794,-,,,154794.0,
Công ty Vincom Retail,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ hợp đồng cho thuê tài chính và chi hộ,74.078,(*),,,74078.0,
Công ty TNHH Phát triển Công Viên Trung Tâm,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty TNHH Phát triển Công Viên Trung Tâm,Công ty TNHH Phát triển Công Viên Trung Tâm,Chịu sự kiểm soát chung,Phải thu từ chia sẻ lợi nhuận hợp đồng hợp tác kinh doanh,51.326,51.326,,,51326.0,51326.0
Công ty Vận hành Vincom Retail,Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu từ chi hộ,25.297,(*),,,25297.0,
"Công ty Cổ phần Đầu tư và Phát triển Đồ thị Sài Đồng (""Công ty Sài Đồng"")","Phải thu ngắn hạn khác (Thuyết minh số 9) > Công ty Cổ phần Đầu tư và Phát triển Đồ thị Sài Đồng (""Công ty Sài Đồng"")","Công ty Cổ phần Đầu tư và Phát triển Đồ thị Sài Đồng (""Công ty Sài Đồng"")",Chịu sự kiểm soát chung,Phải thu từ lãi cho vay,-,44.233,,,,44233.0
,,,,,672.617,95.559,,,672617.0,95559.0
