row_label_raw,row_label_full,Số cuối năm > Nguyên tệ > VND,Số cuối năm > Triệu VND > 4.995.129,Ngày đáo hạn > Từ tháng 3 năm 2025 đến tháng 3 năm 2028,Tài sảnđảm bảo > (ii),numeric__Số cuối năm > Triệu VND > 4.995.129,numeric__Ngày đáo hạn > Từ tháng 3 năm 2025 đến tháng 3 năm 2028,numeric__Tài sảnđảm bảo > (ii)
VND,VND,VND,633.879,,,633879.0,,
VND,VND,VND,4.722.376,Từ tháng 3 năm 2025 đến tháng 6 năm 2027,(ii),4722376.0,,
VND,VND,VND,2.364.000,,,2364000.0,,
VND,VND,VND,1.500.000,Từ tháng 11 năm 2025 đến tháng 2 năm 2028,(ii),1500000.0,,
VND,VND,VND,150.000,,,150000.0,,
VND,VND,VND,1.088.323,Từ tháng 2 năm 2025 đến tháng 11 năm 2033,(ii),1088323.0,,
VND,VND,VND,13.209,,,13209.0,,
VND,VND,VND,1.054.604,Từ tháng 2 năm 2025 đến tháng 8 năm 2031,(ii),1054604.0,,
VND,VND,VND,148.000,,,148000.0,,
VND,VND,VND,232.282,Từ tháng 1 năm 2025 đến tháng 12 năm 2029,(ii),232282.0,,
VND,VND,VND,45.738,,,45738.0,,
VND,VND,VND,225.000,Từ tháng 2 năm 2025 đến tháng 2 năm 2027,(ii),225000.0,,
VND,VND,VND,100.000,,,100000.0,,
USD,USD,USD,2.024.333,Tháng 4 năm 2025,(ii),2024333.0,,
USD,USD,USD,2.024.333,,,2024333.0,,
USD,USD,USD,1.516.659,Tháng 10 năm 2026,(ii),1516659.0,,
"VND, EUR","VND, EUR","VND, EUR",23.637.811,Từ tháng 1 năm 2025 đến tháng 10 năm 2026,"(i),(ii)",23637811.0,,
"VND, EUR","VND, EUR","VND, EUR",355.217,,,355217.0,,
USD,USD,USD,12.150.010,Từ tháng 3 năm 2025 đến tháng 9 năm 2030,"(ii), (iii)",12150010.0,,
USD,USD,USD,2.215.416,,,2215416.0,,
USD,USD,USD,1.935.558,Từ tháng 6 năm 2025 đến tháng 12 năm 2026,(ii),1935558.0,,
USD,USD,USD,444.518,,,444518.0,,
USD,USD,USD,7.466.804,Từ tháng 6 năm 2025 đến tháng 12 năm 2026,(ii),7466804.0,,
USD,USD,USD,1.721.229,,,1721229.0,,
USD,USD,USD,6.181.294,Từ tháng 1 năm 2025 đến tháng 2 năm 2026,(ii),6181294.0,,
USD,USD,USD,1.785.872,,,1785872.0,,
USD,USD,USD,3.141.045,Từ tháng 5 năm 2025 đến tháng 11 năm 2029,"(ii), (iii)",3141045.0,,
USD,USD,USD,326.149,,,326149.0,,
