row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: triệu VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Thuyết minh,numeric__Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: triệu VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,Vay và nợ thuê tài chính ngắn hạn,,,,,
Vay ngắn hạn,Vay và nợ thuê tài chính ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,26.1,41.842.824,85.616.972,(72.780.763),54.679.033,261.0,41842824.0,85616972.0,-72780763.0,54679033.0
- Vay hạn mức tín dụng (*),Vay và nợ thuê tài chính ngắn hạn > - Vay hạn mức tín dụng (*),- Vay hạn mức tín dụng (*),,36.717.718,80.028.084,(62.600.201),54.145.601,,36717718.0,80028084.0,-62600201.0,54145601.0
- Vay ngắn hạn khác,Vay và nợ thuê tài chính ngắn hạn > - Vay ngắn hạn khác,- Vay ngắn hạn khác,,5.125.106,5.588.888,(10.180.562),533.432,,5125106.0,5588888.0,-10180562.0,533432.0
Vay dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,26.2,16.654.234,22.340.980,(21.857.738),17.137.476,262.0,16654234.0,22340980.0,-21857738.0,17137476.0
Trái phiếu dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,26.3,46.046.545,18.343.085,(41.274.402),23.115.228,263.0,46046545.0,18343085.0,-41274402.0,23115228.0
Trái phiếu hoán đối đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Trái phiếu hoán đối đến hạn trả,Trái phiếu hoán đối đến hạn trả,26.4,10.451.913,269.838,(10.721.751),-,264.0,10451913.0,269838.0,-10721751.0,
Vay chuyển đổi ngắn hạn,Vay và nợ thuê tài chính ngắn hạn > Vay chuyển đổi ngắn hạn,Vay chuyển đổi ngắn hạn,,1.181.975,30.524,(1.212.499),-,,1181975.0,30524.0,-1212499.0,
Nợ thuê tài chính dài hạn đến hạn trả,Vay và nợ thuê tài chính ngắn hạn > Nợ thuê tài chính dài hạn đến hạn trả,Nợ thuê tài chính dài hạn đến hạn trả,,57.710,260.150,(60.452),257.408,,57710.0,260150.0,-60452.0,257408.0
TỔNG CỘNG,Vay và nợ thuê tài chính ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,,116.235.201,126.861.549,(147.907.605),95.189.145,,116235201.0,126861549.0,-147907605.0,95189145.0
Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn,,,,,
Vay dài hạn,Vay và nợ thuê tài chính dài hạn > Vay dài hạn,Vay dài hạn,26.2,68.130.320,47.774.223,(38.500.988),77.403.555,262.0,68130320.0,47774223.0,-38500988.0,77403555.0
Trái phiếu dài hạn,Vay và nợ thuê tài chính dài hạn > Trái phiếu dài hạn,Trái phiếu dài hạn,26.3,28.757.192,41.890.858,(19.127.710),51.520.340,263.0,28757192.0,41890858.0,-19127710.0,51520340.0
Nợ thuê tài chính dài hạn,Vay và nợ thuê tài chính dài hạn > Nợ thuê tài chính dài hạn,Nợ thuê tài chính dài hạn,,130.678,320.008,(332.667),118.019,,130678.0,320008.0,-332667.0,118019.0
TỔNG CỘNG,Vay và nợ thuê tài chính dài hạn > TỔNG CỘNG,TỔNG CỘNG,,97.018.190,89.985.089,(57.961.365),129.041.914,,97018190.0,89985089.0,-57961365.0,129041914.0
