row_label_raw,row_label_full,col_0,Số đầu năm,Thay đổi trong năm > Phát hành thêm,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,Thay đổi trong năm > Mua lại trái phiếu,Đơn vị tính: USD > Số cuối năm,numeric__Số đầu năm,numeric__Thay đổi trong năm > Phát hành thêm,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,numeric__Thay đổi trong năm > Mua lại trái phiếu,numeric__Đơn vị tính: USD > Số cuối năm
Trái phiếu hoán đổi số 3,Trái phiếu hoán đổi số 3,Trái phiếu hoán đổi số 3,425.000.000,-,-,(425.000.000),-,425000000.0,,,-425000000.0,
,,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,,
,,,,,,Năm nay,Năm trước,,,,,
Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,,,,9.501.445,9.501.445,,,,9501445.0,9501445.0
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,,,,-,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,,,9.501.445,9.501.445,,,,9501445.0,9501445.0
Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai,,,,,
Số đầu năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai > Số đầu năm,Số đầu năm,,,,348.112,56.419,,,,348112.0,56419.0
Số tăng trong năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai > Số tăng trong năm,Số tăng trong năm,,,,193.392,291.693,,,,193392.0,291693.0
Số cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai > Số cuối năm,Số cuối năm,,,,541.504,348.112,,,,541504.0,348112.0
Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai > Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,,,,678.802,602.356,,,,678802.0,602356.0
Trừ: Mua lại trong năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai > Trừ: Mua lại trong năm,Trừ: Mua lại trong năm,,,,(10.721.751),-,,,,-10721751.0,
Cơ cấu nợ gốc tại ngày cuối năm,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế và nghĩa vụ liên quan đến quyền chọn bán của trái chủ trong tương lai > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,,,-,10.451.913,,,,,10451913.0
