row_label_raw,row_label_full,col_0,Số đầu năm,Thay đổi trong năm > Phát hành thêm,Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,Thay đổi trong năm > Mua lại trái phiếu,Đơn vị tính: USD > Số cuối năm,numeric__Số đầu năm,numeric__Thay đổi trong năm > Phát hành thêm,numeric__Thay đổi trong năm > Đã hoán đổi thành cổ phiếu,numeric__Thay đổi trong năm > Mua lại trái phiếu,numeric__Đơn vị tính: USD > Số cuối năm
Trái phiếu hoán đổi số 4,Trái phiếu hoán đổi số 4,Trái phiếu hoán đổi số 4,-,150.000.000,-,-,150.000.000,,150000000.0,,,150000000.0
,,,,,,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND,,,,,
,,,,,,Năm nay,Năm trước,,,,,
Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,Giá trị trái phiếu hoán đổi,,,,3.631.150,-,,,,3631150.0,
Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,,,,-,-,,,,,
Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu vốn chủ sở hữu > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,,,,3.631.150,-,,,,3631150.0,
Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,Cộng: Chi phí phát hành trái phiếu phân bổ lũy kế,,,,,
Số đầu năm,Số đầu năm,Số đầu năm,,,,-,-,,,,,
Số tăng trong năm,Số đầu năm > Số tăng trong năm,Số tăng trong năm,,,,9.024,-,,,,9024.0,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,,,,9.024,-,,,,9024.0,
Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Số đầu năm > Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,Cộng: Lỗ chênh lệch tỷ giá đánh giá lại số dư cuối năm,,,,48.824,-,,,,48824.0,
Cơ cấu nợ gốc tại ngày cuối năm,Số đầu năm > Cơ cấu nợ gốc tại ngày cuối năm,Cơ cấu nợ gốc tại ngày cuối năm,,,,3.688.998,-,,,,3688998.0,
