row_label_raw,row_label_full,col_0,Số phải nộp/cántrừ/thay đổi > Số đầu năm,Số phải nộp/cántrừ/thay đổi > khác trong năm,Số đã nộptrong năm,Số cuối năm,numeric__Số phải nộp/cántrừ/thay đổi > Số đầu năm,numeric__Số phải nộp/cántrừ/thay đổi > khác trong năm,numeric__Số đã nộptrong năm,numeric__Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.604.809,15.391.735,(5.709.805),12.286.739,2604809.0,15391735.0,-5709805.0,12286739.0
Thuế tiêu thụ đặc biệt,Phải nộp > Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,163.657,1.333.157,(853.556),643.258,163657.0,1333157.0,-853556.0,643258.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,14.249.166,11.407.382,(11.832.667),13.823.881,14249166.0,11407382.0,-11832667.0,13823881.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,790.586,3.166.453,(2.970.353),986.686,790586.0,3166453.0,-2970353.0,986686.0
"Tiền sử dụng đất, thuê đấtvà các nghĩa vụ theo hợpđồng Xây dựng-Chuyển giao","Phải nộp > Tiền sử dụng đất, thuê đấtvà các nghĩa vụ theo hợpđồng Xây dựng-Chuyển giao","Tiền sử dụng đất, thuê đấtvà các nghĩa vụ theo hợpđồng Xây dựng-Chuyển giao",30.952,32.208.557,(28.797.365),3.442.144,30952.0,32208557.0,-28797365.0,3442144.0
Thuế và các khoản phải nộpNhà nước khác,Phải nộp > Thuế và các khoản phải nộpNhà nước khác,Thuế và các khoản phải nộpNhà nước khác,1.558.513,6.015.465,(5.999.028),1.574.950,1558513.0,6015465.0,-5999028.0,1574950.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,19.397.683,69.522.749,(56.162.774),32.757.658,19397683.0,69522749.0,-56162774.0,32757658.0
,,,Số đầu năm,Số phải thutrong năm,Số đã cản triturong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,273.363,12.390,(2.967),282.786,273363.0,12390.0,-2967.0,282786.0
Thuế và các khoản phải thuNhà nước khác,Phải thu > Thuế và các khoản phải thuNhà nước khác,Thuế và các khoản phải thuNhà nước khác,18.973,11.444,(607),29.810,18973.0,11444.0,-607.0,29810.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,292.336,23.834,(3.574),312.596,292336.0,23834.0,-3574.0,312596.0
