row_label_raw,row_label_full,Ông Nguyễn Thế Anh,Trường ban,numeric__Trường ban
Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Bà Đỗ Thị Hồng Vân,Thành viên,
Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Bà Nguyễn Hồng Mai,Thành viên,
