row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất > Số cuối năm,Bảng cân đối kế toán hợp nhất > Số đầu năm,Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước,numeric__Bảng cân đối kế toán hợp nhất > Số cuối năm,numeric__Bảng cân đối kế toán hợp nhất > Số đầu năm,numeric__Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm nay,numeric__Đơn vị tính: triệu VNDBáo cáo kết quả hoạt động kinh doanh hợp nhất > Năm trước
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Chênh lệch tạm thời từ thuế thu nhập doanh nghiệp tạm nộp 1% trên các khoản nhận tiền trước từ khách hàng,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ thuế thu nhập doanh nghiệp tạm nộp 1% trên các khoản nhận tiền trước từ khách hàng,Chênh lệch tạm thời từ thuế thu nhập doanh nghiệp tạm nộp 1% trên các khoản nhận tiền trước từ khách hàng,1.306.249,361.114,947.942,(282.349),1306249.0,361114.0,947942.0,-282349.0
Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời từ lợi nhuận chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,505.046,178.100,326.946,24.308,505046.0,178100.0,326946.0,24308.0
Chênh lệch tạm thời từ dự phòng chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ dự phòng chi phí phải trả,Chênh lệch tạm thời từ dự phòng chi phí phải trả,331.953,382.770,(39.251),(877),331953.0,382770.0,-39251.0,-877.0
Chênh lệch tạm thời từ đánh giá lại tài sản khi mua/sáp nhập công ty con,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ đánh giá lại tài sản khi mua/sáp nhập công ty con,Chênh lệch tạm thời từ đánh giá lại tài sản khi mua/sáp nhập công ty con,50.973,136.842,(19.799),(8.367),50973.0,136842.0,-19799.0,-8367.0
Chênh lệch tạm thời từ chi phí bán hàng chưa được khấu trừ trong năm,Tài sản thuế thu nhập hoãn lại > Chênh lệch tạm thời từ chi phí bán hàng chưa được khấu trừ trong năm,Chênh lệch tạm thời từ chi phí bán hàng chưa được khấu trừ trong năm,6.328,51.481,(37.356),11.580,6328.0,51481.0,-37356.0,11580.0
Các khoản khác,Tài sản thuế thu nhập hoãn lại > Các khoản khác,Các khoản khác,230.073,152.195,126.220,(107.022),230073.0,152195.0,126220.0,-107022.0
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Chênh lệch tạm thời từ việc đánh giá lại giá trị hợp lý khi mua công ty con,(1.654.564),(751.984),353.812,21.903,-1654564.0,-751984.0,353812.0,21903.0
Chênh lệch tạm thời từ lỗ chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Thuế thu nhập hoãn lại phải trả > Chênh lệch tạm thời từ lỗ chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,Chênh lệch tạm thời từ lỗ chưa thực hiện của các giao dịch nội bộ trong Tập đoàn,(373.986),(317.988),(55.999),(26.966),-373986.0,-317988.0,-55999.0,-26966.0
Các khoản khác,Thuế thu nhập hoãn lại phải trả > Các khoản khác,Các khoản khác,(229.167),(132.344),(151.588),(58.266),-229167.0,-132344.0,-151588.0,-58266.0
Tài sản thuế thu nhập hoãn lại thuần,Thuế thu nhập hoãn lại phải trả > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,172.905,60.186,,,172905.0,60186.0,,
Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,Thu nhập/(chi phí) thuế thu nhập hoãn lại tính vào báo cáo kết quả hoạt động kinh doanh hợp nhất,,,1.450.927,(426.056),,,1450927.0,-426056.0
Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,Trình bày trên báo cáo tài chính hợp nhất,,,,
Tài sản thuế thu nhập hoãn lại,Trình bày trên báo cáo tài chính hợp nhất > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,2.430.622,1.262.502,,,2430622.0,1262502.0,,
Thuế thu nhập hoãn lại phải trả,Trình bày trên báo cáo tài chính hợp nhất > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,(2.257.717),(1.202.316),,,-2257717.0,-1202316.0,,
Tài sản thuế thu nhập hoãn lại thuần,Trình bày trên báo cáo tài chính hợp nhất > Tài sản thuế thu nhập hoãn lại thuần,Tài sản thuế thu nhập hoãn lại thuần,172.905,60.186,,,172905.0,60186.0,,
