row_label_raw,row_label_full,Đơn vị tư vấn phát hành > Công ty Cổ phần Chứng khoán Kỹ Thương > Công ty Cổ phần Chứng khoán Kỹ Thương (*),Nguyên tệ > VND,Số cuối năm (triệu VND) > 15.834.682 > 37.844.065,"Kỳ hạn trả gốc, lãi và thông tin liên quan đến quyền chọn bán > Trả gốc từ tháng 3 năm 2026 đến tháng 3 năm 2027. Trả lãi hàng quỹ hoặc sâu tháng một lần. > Trả gốc từ tháng 1 năm 2025 đến tháng 10 năm 2029. Trả lãi hàng quỹ hoặc sâu tháng một lần.","Lãi suất > Bao gồm:(a) Lãi suất thả nổi, lãi suất trong năm từ 14,5%/năm đến 15%/năm(b) Lãi suất cố định, lãi suất trong năm 12%/năm > Bao gồm:(a) Lãi suất thả nổi, lãi suất trong năm từ 8,88%/năm đến 11,225%/năm.(b) Lãi suất cố định, lãi suất trong năm từ 8,5%/năm đến 14,5%/năm",Tài sản đảm bảo > (i) > (ii),numeric__Nguyên tệ > VND,numeric__Số cuối năm (triệu VND) > 15.834.682 > 37.844.065,"numeric__Kỳ hạn trả gốc, lãi và thông tin liên quan đến quyền chọn bán > Trả gốc từ tháng 3 năm 2026 đến tháng 3 năm 2027. Trả lãi hàng quỹ hoặc sâu tháng một lần. > Trả gốc từ tháng 1 năm 2025 đến tháng 10 năm 2029. Trả lãi hàng quỹ hoặc sâu tháng một lần.","numeric__Lãi suất > Bao gồm:(a) Lãi suất thả nổi, lãi suất trong năm từ 14,5%/năm đến 15%/năm(b) Lãi suất cố định, lãi suất trong năm 12%/năm > Bao gồm:(a) Lãi suất thả nổi, lãi suất trong năm từ 8,88%/năm đến 11,225%/năm.(b) Lãi suất cố định, lãi suất trong năm từ 8,5%/năm đến 14,5%/năm",numeric__Tài sản đảm bảo > (i) > (ii)
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,VND,16.551.759,,,,,16551759.0,,,
Công ty Cổ phần Chứng khoán SSI,Công ty Cổ phần Chứng khoán SSI,Công ty Cổ phần Chứng khoán SSI,VND,1.416.967,Trả gốc từ tháng 8 năm 2025 đến tháng 9 năm 2026. Trả lãi sâu tháng một lần.,"Lãi suất thả nổi, lãi suất trong năm từ 8,68%/năm đến 15%/năm",(i),,1416967.0,,,
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,VND,687.395,,,,,687395.0,,,
Công ty Cổ phần Chứng khoán HD,Công ty Cổ phần Chứng khoán HD,Công ty Cổ phần Chứng khoán HD,VND,7.488.490,Trả gốc từ tháng 4 năm 2026 đến tháng 5 năm 2026. Trả lãi sâu tháng một lần.,"Lãi suất thả nổi, lãi suất trong năm 12,5%/năm",(i),,7488490.0,,,
"Ngân hàng The HongKong and Shanghai Banking Corporation Limited (""trái phiếu hoán đổi số 1"") (**)","Ngân hàng The HongKong and Shanghai Banking Corporation Limited (""trái phiếu hoán đổi số 1"") (**)","Ngân hàng The HongKong and Shanghai Banking Corporation Limited (""trái phiếu hoán đổi số 1"") (**)",USD,5.876.074,Trả gốc từ tháng 2 năm 2025 đến tháng 11 năm 2025. Trả lãi sâu tháng một lần.,"Lãi suất cố định, lãi suất trong năm từ 4%/năm đến 5%/năm",(ii),,5876074.0,,,
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,USD,5.876.074,,,,,5876074.0,,,
"Ngân hàng The HongKong and Shanghai Banking Corporation Limited, Singapore Branch; Ngân hàng UBS AG Singapore Branch và Ngân hàng The Bank of New York Mellon, London Branch (""trái phiếu hoán đổi số 2"") (***)","Ngân hàng The HongKong and Shanghai Banking Corporation Limited, Singapore Branch; Ngân hàng UBS AG Singapore Branch và Ngân hàng The Bank of New York Mellon, London Branch (""trái phiếu hoán đổi số 2"") (***)","Ngân hàng The HongKong and Shanghai Banking Corporation Limited, Singapore Branch; Ngân hàng UBS AG Singapore Branch và Ngân hàng The Bank of New York Mellon, London Branch (""trái phiếu hoán đổi số 2"") (***)",USD,6.175.290,Trả gốc vào tháng 11 năm 2028. Trả lãi hàng quỹ. Trải chủ có thể thực hiện quyền chọn bán từ tháng 11 năm 2026.,Lãi suất cố định 10%/năm,(i),,6175290.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,74.635.568,,,,,74635568.0,,,
Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,Trong đó:Trái phiếu dài hạn,,51.520.340,,,,,51520340.0,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,,23.115.228,,,,,23115228.0,,,
