row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, chi phí phát triển và các tài sản khác",Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, chi phí phát triển và các tài sản khác",numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,568.936,3.822.469,42.563.711,2.293.163,49.248.279,568936.0,3822469.0,42563711.0,2293163.0,49248279.0
Mua trong năm,Nguyên giá: > Mua trong năm,Mua trong năm,-,181.793,-,104.829,286.622,,181793.0,,104829.0,286622.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),-,687.646,11.628.187,234.982,12.550.815,,687646.0,11628187.0,234982.0,12550815.0
Giảm do mất quyền kiểm soát công ty con,Nguyên giá: > Giảm do mất quyền kiểm soát công ty con,Giảm do mất quyền kiểm soát công ty con,-,(98.294),-,-,(98.294),,-98294.0,,,-98294.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(3.957),(103.008),(567.894),63.746,(611.113),-3957.0,-103008.0,-567894.0,63746.0,-611113.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,564.979,4.490.606,53.624.004,2.696.720,61.376.309,564979.0,4490606.0,53624004.0,2696720.0,61376309.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,-,495.141,8.874.925,53.438,9.423.504,,495141.0,8874925.0,53438.0,9423504.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,151.194,2.035.407,14.503.066,627.913,17.317.580,151194.0,2035407.0,14503066.0,627913.0,17317580.0
Hao mòn trong năm,Giá trị hao mòn lũy kế: > Hao mòn trong năm,Hao mòn trong năm,19.700,662.547,5.974.847,165.746,6.822.840,19700.0,662547.0,5974847.0,165746.0,6822840.0
Giảm do mất quyền kiểm soát công ty con,Giá trị hao mòn lũy kế: > Giảm do mất quyền kiểm soát công ty con,Giảm do mất quyền kiểm soát công ty con,-,(72.982),-,-,(72.982),,-72982.0,,,-72982.0
Thay đổi khác,Giá trị hao mòn lũy kế: > Thay đổi khác,Thay đổi khác,-,(23.918),(86.289),7.968,(102.239),,-23918.0,-86289.0,7968.0,-102239.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,170.894,2.601.054,20.391.624,801.627,23.965.199,170894.0,2601054.0,20391624.0,801627.0,23965199.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,417.742,1.787.062,28.060.645,1.665.250,31.930.699,417742.0,1787062.0,28060645.0,1665250.0,31930699.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,394.085,1.889.552,33.232.380,1.895.093,37.411.110,394085.0,1889552.0,33232380.0,1895093.0,37411110.0
