row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9),Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: triệu VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: triệu VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Mối quan hệ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: triệu VND > Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: triệu VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9)
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Góp vốn hợp đồng hợp tác đầu tư,4.503.823,(*),,,4503823.0,
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải thu từ hợp đồng cho thuê tài chính,92.706,(*),,,92706.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Góp vốn hợp đồng hợp tác đầu tư,1.801.040,(*),,,1801040.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải thu khác,12.761,(*),,,12761.0,
Công ty Suối Hoa,Công ty Suối Hoa,Công ty Suối Hoa,Công ty liên kết,Góp vốn hợp đồng hợp tác đầu tư,381.342,(*),,,381342.0,
,,,,,6.791.672,-,,,6791672.0,
Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),Tài sản dài hạn khác (Thuyết minh số 13),,,,
Công ty Sài Đồng,Tài sản dài hạn khác (Thuyết minh số 13) > Công ty Sài Đồng,Công ty Sài Đồng,Chịu sự kiểm soát chung,Đặt cọc cho mục đích nhận chuyển nhượng tài sản,61.666,128.325,,,61666.0,128325.0
,,,,,61.666,128.325,,,61666.0,128325.0
Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),Phải trả người bán ngắn hạn (Thuyết minh số 21.1),,,,
Công ty Vận hành Vincom Retail,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải trả liên quan đến cung cấp dịch vụ,310.688,(*),,,310688.0,
Công ty V-Green,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty V-Green,Công ty V-Green,Chịu sự kiểm soát chung,Phải trả liên quan đến cung cấp dịch vụ,144.822,-,,,144822.0,
Công ty GSM,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải trả liên quan đến cung cấp dịch vụ,56.285,-,,,56285.0,
Công ty Vincom Retail,Phải trả người bán ngắn hạn (Thuyết minh số 21.1) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Phải trả liên quan đến cung cấp dịch vụ,49.571,(*),,,49571.0,
,,,,,561.366,-,,,561366.0,
Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2),,,,
Công ty V-G,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty V-G,Công ty V-G,Công ty liên doanh,Nhận tiền từ khách hàng liên quan đến hợp đồng xây dựng,9.596,72.431,,,9596.0,72431.0
Ông Phạm Nhật Vượng,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch HĐQT Tập đoàn,Nhận tiền để chuyển nhượng cổ phần,-,1.729.000,,,,1729000.0
Công ty GSM,Người mua trả tiền trước ngắn hạn (Thuyết minh số 21.2) > Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Nhận tiền trước để mua hàng hóa,-,12.288,,,,12288.0
,,,,,9.596,1.813.719,,,9596.0,1813719.0
