row_label_raw,row_label_full,col_0,"Quyền sử dụngđất và nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Tổng cộng,"numeric__Quyền sử dụngđất và nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,41.592.581,7.511.600,49.104.181,41592581.0,7511600.0,49104181.0
Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Nguyên giá: > Xây dựng cơ bản hoàn thành(Thuyết minh số 18),Xây dựng cơ bản hoàn thành(Thuyết minh số 18),4.208.625,464.674,4.673.299,4208625.0,464674.0,4673299.0
"Thanh lý, nhượng bán","Nguyên giá: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.830.732),-,(1.830.732),-1830732.0,,-1830732.0
Giảm do mất quyền kiểm soátcông ty con,Nguyên giá: > Giảm do mất quyền kiểm soátcông ty con,Giảm do mất quyền kiểm soátcông ty con,(27.704.781),(6.349.677),(34.054.458),-27704781.0,-6349677.0,-34054458.0
Chuyển sang hàng tồn kho,Nguyên giá: > Chuyển sang hàng tồn kho,Chuyển sang hàng tồn kho,(1.674.206),-,(1.674.206),-1674206.0,,-1674206.0
Thay đổi khác,Nguyên giá: > Thay đổi khác,Thay đổi khác,(377.783),164.995,(212.788),-377783.0,164995.0,-212788.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,14.213.704,1.791.592,16.005.296,14213704.0,1791592.0,16005296.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,611,231.334,231.945,611.0,231334.0,231945.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,7.402.704,4.163.153,11.565.857,7402704.0,4163153.0,11565857.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,633.424,147.228,780.652,633424.0,147228.0,780652.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(90.327),-,(90.327),-90327.0,,-90327.0
Giảm do mất quyền kiểm soátcông ty con,Giá trị khấu hao lũy kế: > Giảm do mất quyền kiểm soátcông ty con,Giảm do mất quyền kiểm soátcông ty con,(6.203.134),(3.069.979),(9.273.113),-6203134.0,-3069979.0,-9273113.0
Thay đổi khác,Giá trị khấu hao lũy kế: > Thay đổi khác,Thay đổi khác,(60.290),49.099,(11.191),-60290.0,49099.0,-11191.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,1.682.377,1.289.501,2.971.878,1682377.0,1289501.0,2971878.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,34.189.877,3.348.447,37.538.324,34189877.0,3348447.0,37538324.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,12.531.327,502.091,13.033.418,12531327.0,502091.0,13033418.0
