row_label_raw,row_label_full,Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đã hoàn thành > Doanh thu được ghi nhận trong năm của hợp đồng xây dựng đang thực hiện,Đơn vị tính: triệu VND > Năm nay > 3.714.582 > 10.611.377,Đơn vị tính: triệu VND > Năm trước > 1.640.362 > 4.572.831,numeric__Đơn vị tính: triệu VND > Năm nay > 3.714.582 > 10.611.377,numeric__Đơn vị tính: triệu VND > Năm trước > 1.640.362 > 4.572.831
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,14.325.959,6.213.193,14325959.0,6213193.0
Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,Tổng doanh thu lũy kế của hợp đồng xây dựng đang thực hiện đến ngày cuối năm,12.689.074,4.769.872,12689074.0,4769872.0
