row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.934.240,6.449.021,7934240.0,6449021.0
Chi phí dự phòng bảo hành,Chi phí bán hàng > Chi phí dự phòng bảo hành,Chi phí dự phòng bảo hành,4.336.721,2.042.803,4336721.0,2042803.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,2.799.845,2.471.275,2799845.0,2471275.0
"Chi phí khấu hao, hao mòn tài sản cố định","Chi phí bán hàng > Chi phí khấu hao, hao mòn tài sản cố định","Chi phí khấu hao, hao mòn tài sản cố định",430.545,473.908,430545.0,473908.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,2.552.568,1.076.900,2552568.0,1076900.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,18.053.919,12.513.907,18053919.0,12513907.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,4.888.000,4.551.321,4888000.0,4551321.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,3.592.567,3.473.554,3592567.0,3473554.0
Chi phí nghiên cứu và phát triển,Chi phí quản lý doanh nghiệp > Chi phí nghiên cứu và phát triển,Chi phí nghiên cứu và phát triển,2.590.874,2.584.055,2590874.0,2584055.0
"Chi phí khấu hao, hao mòn tài sản cố định vàphân bổ lợi thế thương mại","Chi phí quản lý doanh nghiệp > Chi phí khấu hao, hao mòn tài sản cố định vàphân bổ lợi thế thương mại","Chi phí khấu hao, hao mòn tài sản cố định vàphân bổ lợi thế thương mại",1.674.555,1.131.959,1674555.0,1131959.0
"Thuế, phí và lệ phí khác","Chi phí quản lý doanh nghiệp > Thuế, phí và lệ phí khác","Thuế, phí và lệ phí khác",663.039,401.762,663039.0,401762.0
Trích lập dự phòng (i),Chi phí quản lý doanh nghiệp > Trích lập dự phòng (i),Trích lập dự phòng (i),541.699,177.154,541699.0,177154.0
Chi phí tài trợ và từ thiện,Chi phí quản lý doanh nghiệp > Chi phí tài trợ và từ thiện,Chi phí tài trợ và từ thiện,409.716,553.753,409716.0,553753.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,787.857,589.697,787857.0,589697.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,15.148.307,13.463.255,15148307.0,13463255.0
