row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: triệu VND > Năm nay,Đơn vị tính: triệu VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: triệu VND > Năm nay,numeric__Đơn vị tính: triệu VND > Năm trước
"Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")",Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,1.153.649,(*),,,1153649.0,
"Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")",Công ty liên kết,Chỉ phí đi thuê trung tâm thương mại,731.010,(*),,,731010.0,
"Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")",Công ty liên kết,Lãi cọc hợp đồng hợp tác đầu tư,237.042,(*),,,237042.0,
"Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")","Công ty TNHH Vận hành Vincom Retail (""Công ty Vận hành Vincom Retail"")",Công ty liên kết,Doanh thu từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư,75.775,(*),,,75775.0,
Công ty SDI,Công ty SDI,Công ty SDI,Công ty liên kết đến ngày 4 tháng 9 năm 2024,Lãi từ chia sẻ lợi nhuận hợp đồng hợp tác đầu tư và kinh doanh,247.730,(*),,,247730.0,
"Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa (""Công ty Suối Hoa"")","Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa (""Công ty Suối Hoa"")","Công ty TNHH Đầu tư và Phát triển Đô thị Suối Hoa (""Công ty Suối Hoa"")",Công ty liên kết,Góp vốn cho mục đích hợp đồng hợp tác đầu tư,201.342,(*),,,201342.0,
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Tài trợ cho công ty con của Tập đoàn,8.277.310,18.980.000,,,8277310.0,18980000.0
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Chuyển nhượng cổ phần trong Công ty con (i),1.820.006,-,,,1820006.0,
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Công ty con nhận góp vốn,-,1.858.200,,,,1858200.0
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Nhận tiền trước để chuyển nhượng cổ phần,-,1.729.000,,,,1729000.0
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Nhận chuyển nhượng cổ phần trong Công ty Cổ phần Giải pháp Năng lượng VinES Hà Tĩnh,-,864.328,,,,864328.0
Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Ông Phạm Nhật Vượng,Chủ tịch Tập đoàn,Phải thu liên quan đến chuyển nhượng cổ phần,-,420.420,,,,420420.0
Cá nhân số 1,Cá nhân số 1,Cá nhân số 1,Thành viên mật thiết trong gia đình của cá nhân quản lý Tập đoàn,Nhận chuyển nhượng cổ phần trong công ty con,475.430,-,,,475430.0,
Cá nhân số 2,Cá nhân số 2,Cá nhân số 2,Thành viên mật thiết trong gia đình của cá nhân quản lý Tập đoàn,Nhận chuyển nhượng cổ phần trong công ty con,85.458,-,,,85458.0,
Cá nhân số 2,Cá nhân số 2,Cá nhân số 2,Thành viên mật thiết trong gia đình của cá nhân quản lý Tập đoàn,Doanh thu liên quan đến chuyển nhượng bất động sản,-,610.750,,,,610750.0
