row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Tạm ứng tiền giải phóng mặt bằng (i),Ngắn hạn > Tạm ứng tiền giải phóng mặt bằng (i),Tạm ứng tiền giải phóng mặt bằng (i),65.780.534,39.582.598,65780534.0,39582598.0
Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (ii),Ngắn hạn > Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (ii),Tạm ứng theo hợp đồng hợp tác đầu tư và kinh doanh (ii),27.033.653,36.498.402,27033653.0,36498402.0
Phải thu hợp đồng Xây dựng-Chuyển giao (iii),Ngắn hạn > Phải thu hợp đồng Xây dựng-Chuyển giao (iii),Phải thu hợp đồng Xây dựng-Chuyển giao (iii),10.079.466,10.081.702,10079466.0,10081702.0
Phải thu từ thanh lý hợp đồng đặt cọc (iv),Ngắn hạn > Phải thu từ thanh lý hợp đồng đặt cọc (iv),Phải thu từ thanh lý hợp đồng đặt cọc (iv),6.275.000,75.000,6275000.0,75000.0
"Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, cho vay và các hợp đồng, thỏa thuận khác","Ngắn hạn > Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, cho vay và các hợp đồng, thỏa thuận khác","Lãi phải thu từ các khoản tiền gửi ngân hàng, đặt cọc, cho vay và các hợp đồng, thỏa thuận khác",3.425.090,3.448.139,3425090.0,3448139.0
"Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (v)","Ngắn hạn > Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (v)","Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (v)",2.138.246,858.745,2138246.0,858745.0
"Phải thu từ việc chuyển giao hợp đồng mua, bán nợ","Ngắn hạn > Phải thu từ việc chuyển giao hợp đồng mua, bán nợ","Phải thu từ việc chuyển giao hợp đồng mua, bán nợ",821.600,821.600,821600.0,821600.0
Phải thu từ việc chi hộ,Ngắn hạn > Phải thu từ việc chi hộ,Phải thu từ việc chi hộ,773.746,3.662.294,773746.0,3662294.0
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,2.927.925,1.720.330,2927925.0,1720330.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,119.255.260,96.748.810,119255260.0,96748810.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37.2),Phải thu ngắn hạn khác từ bên liên quan(Thuyết minh số 37.2),672.617,95.559,672617.0,95559.0
Phải thu ngắn hạn khác từ các đối tác khác,Trong đó: > Phải thu ngắn hạn khác từ các đối tác khác,Phải thu ngắn hạn khác từ các đối tác khác,118.582.643,96.653.251,118582643.0,96653251.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tạm ứng tiền giải phóng mặt bằng (i),Dài hạn > Tạm ứng tiền giải phóng mặt bằng (i),Tạm ứng tiền giải phóng mặt bằng (i),48.000.000,-,48000000.0,
Góp vốn vào hợp đồng hợp tác đầu tư (vi),Dài hạn > Góp vốn vào hợp đồng hợp tác đầu tư (vi),Góp vốn vào hợp đồng hợp tác đầu tư (vi),6.778.912,-,6778912.0,
"Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (vii)","Dài hạn > Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (vii)","Đặt cọc, ký quỹ cho mục đích phát triển dự án và thực hiện hợp đồng (vii)",1.551.698,5.017.022,1551698.0,5017022.0
Phải thu khác,Dài hạn > Phải thu khác,Phải thu khác,1.242.874,1.090.692,1242874.0,1090692.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,57.573.484,6.107.714,57573484.0,6107714.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 37.2),Trong đó: > Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 37.2),Phải thu dài hạn khác từ bên liên quan(Thuyết minh số 37.2),6.791.672,-,6791672.0,
Phải thu dài hạn khác từ các đối tác khác,Trong đó: > Phải thu dài hạn khác từ các đối tác khác,Phải thu dài hạn khác từ các đối tác khác,50.781.812,6.107.714,50781812.0,6107714.0
Dự phòng phải thu khó đòi,Trong đó: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(219.158),(238.897),-219158.0,-238897.0
