row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Đặt cọc cho mục đích đầu tư (i),Ngắn hạn > Đặt cọc cho mục đích đầu tư (i),Đặt cọc cho mục đích đầu tư (i),25.919.848,36.094.273,25919848.0,36094273.0
Tài sản khác,Ngắn hạn > Tài sản khác,Tài sản khác,17.513,-,17513.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,25.937.361,36.094.273,25937361.0,36094273.0
Dài hạn,Dài hạn,Dài hạn,,,,
Đặt cọc cho mục đích đầu tư (ii),Dài hạn > Đặt cọc cho mục đích đầu tư (ii),Đặt cọc cho mục đích đầu tư (ii),4.150.672,706.472,4150672.0,706472.0
Đặt cọc cho mục đích thương mại (iii),Dài hạn > Đặt cọc cho mục đích thương mại (iii),Đặt cọc cho mục đích thương mại (iii),1.032.337,1.032.337,1032337.0,1032337.0
Tài sản khác,Dài hạn > Tài sản khác,Tài sản khác,330.000,-,330000.0,
Đặt cọc cho các bên liên quan (Thuyết minh số 37.2),Dài hạn > Đặt cọc cho các bên liên quan (Thuyết minh số 37.2),Đặt cọc cho các bên liên quan (Thuyết minh số 37.2),61.666,128.325,61666.0,128325.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.574.675,1.867.134,5574675.0,1867134.0
