row_label_raw,row_label_full,col_0,Công ty Cổ phần VinWonders Nha Trang,Công ty Cổ phần Đầu tư và Phát triển Khách sạn Landmark 81,Công ty Cổ phần Đầu tư và Phát triển Khách sạn Thanh Hóa,Đơn vị tính: triệu VND,Đơn vị tính: triệu VND_1,numeric__Công ty Cổ phần VinWonders Nha Trang,numeric__Công ty Cổ phần Đầu tư và Phát triển Khách sạn Landmark 81,numeric__Công ty Cổ phần Đầu tư và Phát triển Khách sạn Thanh Hóa,numeric__Đơn vị tính: triệu VND,numeric__Đơn vị tính: triệu VND_1
,,,Công ty Cổ phần VinWonders Nha Trang,Công ty Cổ phần Đầu tư và Phát triển Khách sạn Landmark 81,Công ty Cổ phần Đầu tư và Phát triển Khách sạn Thanh Hóa,Các công ty khác,Tổng cộng,,,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,-,-,-,4.761.841,4.761.841,,,,4761841.0,4761841.0
Tăng từ hợp nhất kinh doanh,Nguyên giá: > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,2.892.377,1.077.557,623.933,-,4.593.867,2892377.0,1077557.0,623933.0,,4593867.0
Giảm do bán công ty con,Nguyên giá: > Giảm do bán công ty con,Giảm do bán công ty con,-,-,-,(395.694),(395.694),,,,-395694.0,-395694.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,2.892.377,1.077.557,623.933,4.366.147,8.960.014,2892377.0,1077557.0,623933.0,4366147.0,8960014.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,-,-,-,4.269.216,4.269.216,,,,4269216.0,4269216.0
Phân bổ trong năm,Giá trị hao mòn lũy kế: > Phân bổ trong năm,Phân bổ trong năm,243.077,90.558,52.436,137.729,523.800,243077.0,90558.0,52436.0,137729.0,523800.0
Giảm do bán công ty con,Giá trị hao mòn lũy kế: > Giảm do bán công ty con,Giảm do bán công ty con,-,-,-,(350.416),(350.416),,,,-350416.0,-350416.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,243.077,90.558,52.436,4.056.529,4.442.600,243077.0,90558.0,52436.0,4056529.0,4442600.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,-,-,492.625,492.625,,,,492625.0,492625.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.649.300,986.999,571.497,309.618,4.517.414,2649300.0,986999.0,571497.0,309618.0,4517414.0
