row_label_raw,row_label_full,"Bên cho vay > Standard Chartered Bank, India > HSBC, Indonesia Branch > Một số cá nhân và đối tác doanh nghiệp khác","Số cuối năm > Nguyên tệ > INR > IDR > VND, USD, EUR",Số cuối năm > Triệu VND > 434.057 > 441.945 > 533.433,Ngày đáo hạn > Tháng 9 năm 2025 > Tháng 4 năm 2025 > Từ tháng 1 năm 2025 đến tháng 5 năm 2025,"numeric__Số cuối năm > Nguyên tệ > INR > IDR > VND, USD, EUR",numeric__Số cuối năm > Triệu VND > 434.057 > 441.945 > 533.433,numeric__Ngày đáo hạn > Tháng 9 năm 2025 > Tháng 4 năm 2025 > Từ tháng 1 năm 2025 đến tháng 5 năm 2025
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,54.679.033,,,54679033.0,
Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2024 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2024 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2024 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2024 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2024 như sau:,Chi tiết lãi suất các khoản vay ngắn hạn tại ngày 31 tháng 12 năm 2024 như sau:,,,
Khoản vay,Khoản vay,Khoản vay,Nguyên tệ,Lãi suất,,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,VND,"Lãi suất cố định, lãi suất trong năm từ 5,8%/năm đến 15%/nămLãi suất thả nổi, lãi suất trong năm từ 6,6%/năm đến 14,5%/năm",,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,VND,"Lãi suất cố định, lãi suất trong năm từ 3%/năm đến 6,5%/năm",,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,USD,"Lãi suất cố định, lãi suất trong năm từ 9,5%/năm đến 10,5%/nămLãi suất thả nổi, lãi suất trong năm 6,34%/năm",,,,
Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,Khoản vay không có tài sản đảm bảo,USD,"Lãi suất cố định, lãi suất trong năm từ 8,1%/năm đến 8,15%/nămLãi suất thả nổi, lãi suất trong năm 6,51%/năm",,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,EUR,"Lãi suất cố định, lãi suất trong năm 14,5%/nămLãi suất thả nổi, lãi suất trong năm từ 5,8%/năm đến 6,73%/năm",,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,INR,"Lãi suất thả nổi, lãi suất trong năm 8,95%/năm",,,,
Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,Khoản vay có tài sản đảm bảo,IDR,"Lãi suất thả nổi, lãi suất trong năm 8,02%/năm",,,,
