row_label_raw,row_label_full,col_0,Kinh doanhchuyếnnhuong bǎtdộng sân,Kinh doanhcho thuế bǎtdộng sân dàutu và các dịchvụ liên quan,"Kinh doanhdịch vụ kháchsạn du lịch,vui chơi giàitrì và các dịchvụ liên quan",Hoạt độngy tế vàcác dịch vụliên quan,Hoạt độnggiáo dục vàcác dịch vụliên quan,Hoạt độngsản xuất vàcác hoạtđộng liènquan,Hoạt độngtổng thầu xâydụng và cácdịch vụ liènquan,Hoạt độngkinh doanhkhác,Điều chỉnh vàloại trừ,Tổng cộng,numeric__Kinh doanhchuyếnnhuong bǎtdộng sân,numeric__Kinh doanhcho thuế bǎtdộng sân dàutu và các dịchvụ liên quan,"numeric__Kinh doanhdịch vụ kháchsạn du lịch,vui chơi giàitrì và các dịchvụ liên quan",numeric__Hoạt độngy tế vàcác dịch vụliên quan,numeric__Hoạt độnggiáo dục vàcác dịch vụliên quan,numeric__Hoạt độngsản xuất vàcác hoạtđộng liènquan,numeric__Hoạt độngtổng thầu xâydụng và cácdịch vụ liènquan,numeric__Hoạt độngkinh doanhkhác,numeric__Điều chỉnh vàloại trừ,numeric__Tổng cộng
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,,,,,,
Doanh thu thuần cho bên thứ ba,Doanh thu thuần > Doanh thu thuần cho bên thứ ba,Doanh thu thuần cho bên thứ ba,94.374.247,8.836.014,8.689.018,4.415.015,5.127.421,28.081.148,6.253.712,5.650.993,-,161.427.568,94374247.0,8836014.0,8689018.0,4415015.0,5127421.0,28081148.0,6253712.0,5650993.0,,161427568.0
Doanh thu thuần giữa các bộ phận,Doanh thu thuần > Doanh thu thuần giữa các bộ phận,Doanh thu thuần giữa các bộ phận,-,650.530,311.819,99.227,-,689.060,9.668.689,1.567.849,(12.987.174),-,,650530.0,311819.0,99227.0,,689060.0,9668689.0,1567849.0,-12987174.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,94.374.247,9.486.544,9.000.837,4.514.242,5.127.421,28.770.208,15.922.401,7.218.842,(12.987.174),161.427.568,94374247.0,9486544.0,9000837.0,4514242.0,5127421.0,28770208.0,15922401.0,7218842.0,-12987174.0,161427568.0
Kết quả hoạt động kinh doanhKhấu hao và hao mòn (bao gồmlợi thế thương mại),Doanh thu thuần > Kết quả hoạt động kinh doanhKhấu hao và hao mòn (bao gồmlợi thế thương mại),Kết quả hoạt động kinh doanhKhấu hao và hao mòn (bao gồmlợi thế thương mại),522.991,1.918.924,2.395.000,559.068,441.986,11.086.003,94.777,587.093,-,17.605.842,522991.0,1918924.0,2395000.0,559068.0,441986.0,11086003.0,94777.0,587093.0,,17605842.0
Phần được chia tử lãi/(lỗ) củacông ty liên kết và liên doanh,Doanh thu thuần > Phần được chia tử lãi/(lỗ) củacông ty liên kết và liên doanh,Phần được chia tử lãi/(lỗ) củacông ty liên kết và liên doanh,343,-,-,-,-,(63.420),-,(34.748),-,(97.825),343.0,,,,,-63420.0,,-34748.0,,-97825.0
Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,Doanh thu thuần > Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,Thu nhập/(lỗ) thuần trước thuếtheo bộ phận,32.549.852,4.858.217,(4.716.252),(733.748),583.151,(33.957.834),706.750,453.630,(203.704),(459.938),32549852.0,4858217.0,-4716252.0,-733748.0,583151.0,-33957834.0,706750.0,453630.0,-203704.0,-459938.0
Thu nhập thuần không phân bổ,Doanh thu thuần > Thu nhập thuần không phân bổ,Thu nhập thuần không phân bổ,,,,,,,,,,14.229.290,,,,,,,,,,14229290.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,,,
Tài sản theo bộ phận,Tài sản và công nợ > Tài sản theo bộ phận,Tài sản theo bộ phận,309.447.313,54.907.443,45.220.883,8.621.692,13.143.399,176.769.997,6.445.619,11.476.864,(19.408.536),606.624.674,309447313.0,54907443.0,45220883.0,8621692.0,13143399.0,176769997.0,6445619.0,11476864.0,-19408536.0,606624674.0
Tài sản không phân bổ,Tài sản và công nợ > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,,,,,61.031.093,,,,,,,,,,61031093.0
Nợ phải trả theo bộ phận,Tài sản và công nợ > Nợ phải trả theo bộ phận,Nợ phải trả theo bộ phận,190.510.077,6.519.860,13.803.733,1.414.682,3.414.222,52.872.717,18.085.697,2.048.605,(19.408.536),269.261.057,190510077.0,6519860.0,13803733.0,1414682.0,3414222.0,52872717.0,18085697.0,2048605.0,-19408536.0,269261057.0
Nợ phải trả không phân bổ,Tài sản và công nợ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,,,,250.173.024,,,,,,,,,,250173024.0
Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,Tài sản và công nợ > Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,Các thông tin bộ phận khácĐầu tư vào công ty liên kết vàliên doanh,-,-,-,-,-,1.218.036,-,321.053,-,1.539.089,,,,,,1218036.0,,321053.0,,1539089.0
Chi phí mua sắm TSCĐ và xâydựng cơ bản tăng trong kỳ,Tài sản và công nợ > Chi phí mua sắm TSCĐ và xâydựng cơ bản tăng trong kỳ,Chi phí mua sắm TSCĐ và xâydựng cơ bản tăng trong kỳ,12.501.886,4.939.076,3.000.753,782.972,2.712.093,30.484.306,75.254,1.146.380,-,55.642.720,12501886.0,4939076.0,3000753.0,782972.0,2712093.0,30484306.0,75254.0,1146380.0,,55642720.0
