row_label_raw,row_label_full,col_0,Đơn vị tính: triệu VND > Số cuối năm,Đơn vị tính: triệu VND > Số đầu năm,numeric__Đơn vị tính: triệu VND > Số cuối năm,numeric__Đơn vị tính: triệu VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Ngắn hạn > Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,Chi phí bán hàng liên quan đến các bất động sản chưa bàn giao,3.304.264,1.315.267,3304264.0,1315267.0
Chi phí trả trước liên quan đến các khoản vay và trái phiếu,Ngắn hạn > Chi phí trả trước liên quan đến các khoản vay và trái phiếu,Chi phí trả trước liên quan đến các khoản vay và trái phiếu,332.343,190.172,332343.0,190172.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,955.792,813.861,955792.0,813861.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,4.592.399,2.319.300,4592399.0,2319300.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí thuê đất trả trước,Dài hạn > Chi phí thuê đất trả trước,Chi phí thuê đất trả trước,4.713.050,2.968.001,4713050.0,2968001.0
"Chi phí công cụ, dụng cụ","Dài hạn > Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",1.993.482,1.661.259,1993482.0,1661259.0
Chi phí ưu tiên mua hàng trả trước,Dài hạn > Chi phí ưu tiên mua hàng trả trước,Chi phí ưu tiên mua hàng trả trước,565.051,-,565051.0,
Chi phí trả trước liên quan đến trái phiếu,Dài hạn > Chi phí trả trước liên quan đến trái phiếu,Chi phí trả trước liên quan đến trái phiếu,513.423,589.649,513423.0,589649.0
Chi phí sửa chữa lớn,Dài hạn > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,253.403,414.814,253403.0,414814.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,602.984,561.393,602984.0,561393.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.641.393,6.195.116,8641393.0,6195116.0
