row_label_raw,row_label_full,Bên liên quan > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Đơn vị tính: triệu VND > Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23),Đơn vị tính: triệu VND > Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Mối quan hệ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Nội dung nghiệp vụ > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Đơn vị tính: triệu VND > Số cuối năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23),numeric__Đơn vị tính: triệu VND > Số đầu năm > Chi phí phải trả ngắn hạn (Thuyết minh số 23)
Công ty Vincom Retail,Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Chi phí lãi vay trích trước,163.262,(*),,,163262.0,
Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Chi phí lãi vay trích trước,117.405,(*),,,117405.0,
,,,,,280.667,-,,,280667.0,
Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),Chi phí phải trả dài hạn (Thuyết minh số 23),,,,
Công ty Địa Óc Xanh,Chi phí phải trả dài hạn (Thuyết minh số 23) > Công ty Địa Óc Xanh,Công ty Địa Óc Xanh,Cổ đông lớn của công ty con,Chi phí lãi vay trích trước,55.318,-,,,55318.0,
,,,,,55.318,-,,,55318.0,
Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),Phải trả ngắn hạn khác (Thuyết minh số 25),,,,
Công ty Vincom Retail,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận đặt cọc cho hoạt động chuyển nhượng dự án bất động sản,5.479.698,(*),,,5479698.0,
Công ty Vận hành Vincom Retail,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Phải trả từ chi hộ,78.822,(*),,,78822.0,
Công ty GSM,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty GSM,Công ty GSM,Chịu sự kiểm soát chung,Phải trả từ chi hộ,75.361,-,,,75361.0,
Công ty VMI,Phải trả ngắn hạn khác (Thuyết minh số 25) > Công ty VMI,Công ty VMI,Chịu sự kiểm soát chung,Nhận đặt cọc cho hoạt động chuyển nhượng dự án bất động sản,67.999,72.654,,,67999.0,72654.0
,,,,,5.701.880,72.654,,,5701880.0,72654.0
Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),Phải trả dài hạn khác (Thuyết minh số 25),,,,
Công ty Vận hành Vincom Retail,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Vận hành Vincom Retail,Công ty Vận hành Vincom Retail,Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,12.935.824,(*),,,12935824.0,
Công ty Vincom Retail,Phải trả dài hạn khác (Thuyết minh số 25) > Công ty Vincom Retail,Công ty Vincom Retail,Công ty liên kết,Nhận đặt cọc từ hợp đồng hợp tác đầu tư,7.985.875,(*),,,7985875.0,
Tập đoàn Đầu tư Việt Nam,Phải trả dài hạn khác (Thuyết minh số 25) > Tập đoàn Đầu tư Việt Nam,Tập đoàn Đầu tư Việt Nam,Chịu sự kiểm soát chung,Nhận đặt cọc cho hoạt động chuyển nhượng dự án bất động sản,194.100,-,,,194100.0,
,,,,,21.115.799,-,,,21115799.0,
