row_label_raw,row_label_full,col_0,Số cuối nămTriệu đồng,Số đầu nămTriệu đồng,numeric__Số cuối nămTriệu đồng,numeric__Số đầu nămTriệu đồng
"Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")","Tiền gửi không kỳ hạn (""KKH"")",,
Tiền gửi KKH bằng VND,"Tiền gửi không kỳ hạn (""KKH"") > Tiền gửi KKH bằng VND",Tiền gửi KKH bằng VND,10.874.487,10.118.614,10874487.0,10118614.0
Tiền gửi KKH bằng ngoại tệ,"Tiền gửi không kỳ hạn (""KKH"") > Tiền gửi KKH bằng ngoại tệ",Tiền gửi KKH bằng ngoại tệ,980.669,877.295,980669.0,877295.0
Tiền gửi tiết kiệm KKH bằng VND,"Tiền gửi không kỳ hạn (""KKH"") > Tiền gửi tiết kiệm KKH bằng VND",Tiền gửi tiết kiệm KKH bằng VND,20,23,20.0,23.0
Tiền gửi tiết kiệm KKH bằng ngoại tệ,"Tiền gửi không kỳ hạn (""KKH"") > Tiền gửi tiết kiệm KKH bằng ngoại tệ",Tiền gửi tiết kiệm KKH bằng ngoại tệ,71,68,71.0,68.0
"Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")","Tiền gửi có kỳ hạn (""CKH"")",,
Tiền gửi CKH bằng VND,"Tiền gửi có kỳ hạn (""CKH"") > Tiền gửi CKH bằng VND",Tiền gửi CKH bằng VND,54.682.496,42.627.743,54682496.0,42627743.0
Tiền gửi CKH bằng ngoại tệ,"Tiền gửi có kỳ hạn (""CKH"") > Tiền gửi CKH bằng ngoại tệ",Tiền gửi CKH bằng ngoại tệ,26.037,2.096,26037.0,2096.0
Tiền gửi tiết kiệm CKH bằng VND,"Tiền gửi có kỳ hạn (""CKH"") > Tiền gửi tiết kiệm CKH bằng VND",Tiền gửi tiết kiệm CKH bằng VND,66.319.548,36.519.286,66319548.0,36519286.0
Tiền gửi tiết kiệm CKH bằng ngoại tệ,"Tiền gửi có kỳ hạn (""CKH"") > Tiền gửi tiết kiệm CKH bằng ngoại tệ",Tiền gửi tiết kiệm CKH bằng ngoại tệ,112.176,144.748,112176.0,144748.0
Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,Tiền gửi vốn chuyên dùng,,
Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng > Tiền gửi vốn chuyên dùng bằng VND,Tiền gửi vốn chuyên dùng bằng VND,9.282,12.579,9282.0,12579.0
Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng > Tiền gửi vốn chuyên dùng bằng ngoại tệ,Tiền gửi vốn chuyên dùng bằng ngoại tệ,155,154,155.0,154.0
Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,Tiền ký quỹ,,
Tiền gửi ký quỹ bằng VND,Tiền ký quỹ > Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,406.431,416.501,406431.0,416501.0
Tiền gửi ký quỹ bằng ngoại tệ,Tiền ký quỹ > Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,-,14,,14.0
,,,133.411.372,90.719.121,133411372.0,90719121.0
