row_label_raw,row_label_full,col_0,Số cuối năm > Mệnh giáTriệu đồng,Số cuối năm > Giá trịghi sổTriệu đồng,Số cuối năm > Tỷ lệsở hữu(%),Số đầu năm > Mệnh giáTriệu đồng,Số đầu năm > Giá trịghi sổTriệu đồng,Số đầu năm > Tỷ lệsở hữu(%),numeric__Số cuối năm > Mệnh giáTriệu đồng,numeric__Số cuối năm > Giá trịghi sổTriệu đồng,numeric__Số cuối năm > Tỷ lệsở hữu(%),numeric__Số đầu năm > Mệnh giáTriệu đồng,numeric__Số đầu năm > Giá trịghi sổTriệu đồng,numeric__Số đầu năm > Tỷ lệsở hữu(%)
CTCP EVN -Quốc tế,CTCP EVN -Quốc tế,CTCP EVN -Quốc tế,37.800,37.800,"10,31",37.800,37.800,"10,31",37800.0,37800.0,10.31,37800.0,37800.0,10.31
CTCP Đầu tưĐiện lực 3,CTCP Đầu tưĐiện lực 3,CTCP Đầu tưĐiện lực 3,17.225,15.057,"5,17",17.225,15.057,"5,17",17225.0,15057.0,5.17,17225.0,15057.0,5.17
CTCP Thông tinTín dụng Việt Nam,CTCP Thông tinTín dụng Việt Nam,CTCP Thông tinTín dụng Việt Nam,3.934,3.934,"3,28",3.934,3.934,"3,28",3934.0,3934.0,3.28,3934.0,3934.0,3.28
CTCP Thanh toánQuốc gia Việt Nam,CTCP Thanh toánQuốc gia Việt Nam,CTCP Thanh toánQuốc gia Việt Nam,2.600,2.000,"0,83",2.600,2.000,"0,83",2600.0,2000.0,0.83,2600.0,2000.0,0.83
,,,61.559,58.791,,61.559,58.791,,61559.0,58791.0,,61559.0,58791.0,
