row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2025,Tài sản tại ngày 31 tháng 12 năm 2025,Tài sản tại ngày 31 tháng 12 năm 2025,Tài sản tại ngày 31 tháng 12 năm 2025,Tài sản tại ngày 31 tháng 12 năm 2025,Tài sản tại ngày 31 tháng 12 năm 2025,,,
Tiền gửi tại các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2025 > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,34.145.605,-,34.145.605,34145605.0,,34145605.0
Chứng khoán kinh doanh,Tài sản tại ngày 31 tháng 12 năm 2025 > Chứng khoán kinh doanh,Chứng khoán kinh doanh,116.752,-,116.752,116752.0,,116752.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2025 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,113.891.267,106,113.891.373,113891267.0,106.0,113891373.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2025 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,5.558.240,-,5.558.240,5558240.0,,5558240.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2025 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,49.798.155,-,49.798.155,49798155.0,,49798155.0
"Góp vốn, đầu tư dài hạn","Tài sản tại ngày 31 tháng 12 năm 2025 > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",58.791,-,58.791,58791.0,,58791.0
Bất động sản đầu tư,Tài sản tại ngày 31 tháng 12 năm 2025 > Bất động sản đầu tư,Bất động sản đầu tư,74.030,-,74.030,74030.0,,74030.0
Công nợ tại ngày 31 tháng 12 năm 2025,Công nợ tại ngày 31 tháng 12 năm 2025,Công nợ tại ngày 31 tháng 12 năm 2025,Công nợ tại ngày 31 tháng 12 năm 2025,Công nợ tại ngày 31 tháng 12 năm 2025,Công nợ tại ngày 31 tháng 12 năm 2025,,,
"Tiền gửi và vay của Chính phủ, NHNNVN","Công nợ tại ngày 31 tháng 12 năm 2025 > Tiền gửi và vay của Chính phủ, NHNNVN","Tiền gửi và vay của Chính phủ, NHNNVN",6.741.277,-,6.741.277,6741277.0,,6741277.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2025 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,31.118.108,-,31.118.108,31118108.0,,31118108.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2025 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,133.411.372,-,133.411.372,133411372.0,,133411372.0
Các công cụ tài chính phải sinh,Công nợ tại ngày 31 tháng 12 năm 2025 > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,11.130,-,11.130,11130.0,,11130.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Công nợ tại ngày 31 tháng 12 năm 2025 > Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTDchịu rủi ro",3.313,-,3.313,3313.0,,3313.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2025 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,27.800.183,-,27.800.183,27800183.0,,27800183.0
Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025,,,
Cam kết trong nghiệp vụ thư tín dụng,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025 > Cam kết trong nghiệp vụ thư tín dụng,Cam kết trong nghiệp vụ thư tín dụng,1.163.547,-,1.163.547,1163547.0,,1163547.0
Cam kết cho vay không hủy ngang,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025 > Cam kết cho vay không hủy ngang,Cam kết cho vay không hủy ngang,4.415,-,4.415,4415.0,,4415.0
Bảo lãnh khác,Các cam kết ngoại bằng tại ngày 31 tháng 12 năm 2025 > Bảo lãnh khác,Bảo lãnh khác,8.778.154,-,8.778.154,8778154.0,,8778154.0
