row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộngTriệu đồng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộngTriệu đồng
,,,Trên 3thángTriệu đồng,Đến 3thángTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,
Tiền mặt,Tải sản > Tiền mặt,Tiền mặt,-,-,493.695,-,-,-,-,493.695,,,493695.0,,,,,493695.0
Tiền gửi tại NHNN Việt Nam,Tải sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,13.021.715,-,-,-,-,13.021.715,,,13021715.0,,,,,13021715.0
Tiền gửi tại các TCTD khác,Tải sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,-,-,34.130.605,-,15.000,-,-,34.145.605,,,34130605.0,,15000.0,,,34145605.0
Chứng khoán kinh doanh - gộp,Tải sản > Chứng khoán kinh doanh - gộp,Chứng khoán kinh doanh - gộp,-,-,116.752,-,-,-,-,116.752,,,116752.0,,,,,116752.0
Các công cụ tài chính phải sinh,Tải sản > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,-,-,97.310,-,-,-,-,97.310,,,97310.0,,,,,97310.0
Cho vay khách hàng - gộp,Tải sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,997.101,869.441,5.531.066,14.097.466,60.425.122,10.732.529,21.238.648,113.891.373,997101.0,869441.0,5531066.0,14097466.0,60425122.0,10732529.0,21238648.0,113891373.0
Hoạt động mua nợ - gộp,Tải sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,1.132.746,847.917,1.667.577,-,1.910.000,5.558.240,,,1132746.0,847917.0,1667577.0,,1910000.0,5558240.0
Chứng khoán đầu tư - gộp,Tải sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,-,-,500.000,27.890.655,9.817.446,11.590.054,49.798.155,,,,500000.0,27890655.0,9817446.0,11590054.0,49798155.0
"Gộp vốn, đầu tư dài hạn - gộp","Tải sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,-,-,-,-,-,58.791,58.791,,,,,,,58791.0,58791.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,-,-,368,11.402,132.417,959.258,1.103.445,,,,368.0,11402.0,132417.0,959258.0,1103445.0
Bất động sản đầu tư,Tải sản > Bất động sản đầu tư,Bất động sản đầu tư,-,-,-,-,-,63.750,-,63.750,,,,,,63750.0,,63750.0
Tải sản Có khác - gộp,Tải sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,409.166,-,2.376.604,252.901,643.565,838.916,-,4.521.152,409166.0,,2376604.0,252901.0,643565.0,838916.0,,4521152.0
