row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu đồng,Phần mềm máy vi tínhTriệu đồng,Tài sản khácTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtTriệu đồng,numeric__Phần mềm máy vi tínhTriệu đồng,numeric__Tài sản khácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,346.394,521.741,878,869.013,346394.0,521741.0,878.0,869013.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,23.100,90.975,114.075,,23100.0,90975.0,114075.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,346.394,544.841,91.853,983.088,346394.0,544841.0,91853.0,983088.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,10.367,376.121,878,387.366,10367.0,376121.0,878.0,387366.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,2.109,39.481,12.320,53.910,2109.0,39481.0,12320.0,53910.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,12.476,415.602,13.198,441.276,12476.0,415602.0,13198.0,441276.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,336.027,145.620,-,481.647,336027.0,145620.0,,481647.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,333.918,129.239,78.655,541.812,333918.0,129239.0,78655.0,541812.0
