row_label_raw,row_label_full,col_0,Thuyết minh,Năm nay Triệu đồng,Năm trước Triệu đồng,numeric__Thuyết minh,numeric__Năm nay Triệu đồng,numeric__Năm trước Triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,27,13.604.093,9.027.696,27.0,13604093.0,9027696.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,28,(8.515.301),(5.992.439),28.0,-8515301.0,-5992439.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,5.088.792,3.035.257,,5088792.0,3035257.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,698.131,879.352,,698131.0,879352.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(437.584),(379.603),,-437584.0,-379603.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,29,260.547,499.749,29.0,260547.0,499749.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,30,(1.546),245.756,30.0,-1546.0,245756.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,31,2.007,3.385,31.0,2007.0,3385.0
(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,32,(104.237),109.475,32.0,-104237.0,109475.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,3.460.511,646.787,,3460511.0,646787.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(156.111),(31.152),,-156111.0,-31152.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,34,3.304.400,615.635,34.0,3304400.0,615635.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",33,15.314,11.296,33.0,15314.0,11296.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,8.565.277,4.520.553,,8565277.0,4520553.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,35,(2.999.921),(2.364.544),35.0,-2999921.0,-2364544.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,5.565.356,2.156.009,,5565356.0,2156009.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,10,(2.024.645),(1.411.791),10.0,-2024645.0,-1411791.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,3.540.711,744.218,,3540711.0,744218.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,24.1,(765.983),(169.720),241.0,-765983.0,-169720.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,24.2,33.898,11.058,242.0,33898.0,11058.0
Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,Tổng chi phí thuế thu nhập doanh nghiệp,,(732.085),(158.662),,-732085.0,-158662.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,2.808.626,585.556,,2808626.0,585556.0
Lãi cơ bản trên cổ phiếu (đồng/cổ phiếu),Lãi cơ bản trên cổ phiếu (đồng/cổ phiếu),Lãi cơ bản trên cổ phiếu (đồng/cổ phiếu),26,2.714,535,26.0,2714.0,535.0
