row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,40.007,25.766,40007.0,25766.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),150.000,34.156,150000.0,34156.0
Trái phiếu đặc biệt VAMC,Trái phiếu đặc biệt VAMC,Trái phiếu đặc biệt VAMC,828.244,187.902,828244.0,187902.0
,,,1.018.251,247.824,1018251.0,247824.0
Số trích lập/(hoàn nhập)dự phòng trong năm,Số trích lập/(hoàn nhập)dự phòng trong năm,Số trích lập/(hoàn nhập)dự phòng trong năm,Số trích lập/(hoàn nhập)dự phòng trong năm,Số trích lập/(hoàn nhập)dự phòng trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập/(hoàn nhập)dự phòng trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,23.451,14.241,23451.0,14241.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),Số trích lập/(hoàn nhập)dự phòng trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),(150.000),169.377,-150000.0,169377.0
Trái phiếu đặc biệt VAMC,Số trích lập/(hoàn nhập)dự phòng trong năm > Trái phiếu đặc biệt VAMC,Trái phiếu đặc biệt VAMC,1.862.985,637.447,1862985.0,637447.0
Kết chuyển từ dự phòng tín dụng sang VAMC,Số trích lập/(hoàn nhập)dự phòng trong năm > Kết chuyển từ dự phòng tín dụng sang VAMC,Kết chuyển từ dự phòng tín dụng sang VAMC,-,20.344,,20344.0
,,,1.736.436,841.409,1736436.0,841409.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,,
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Sử dụng dự phòng trong năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMC phát hành),-,(53.533),,-53533.0
Sử dụng dự phòng trái phiếu đặc biệt VAMC,Sử dụng dự phòng trong năm > Sử dụng dự phòng trái phiếu đặc biệt VAMC,Sử dụng dự phòng trái phiếu đặc biệt VAMC,(2.188.787),(17.449),-2188787.0,-17449.0
,,,(2.188.787),(70.982),-2188787.0,-70982.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,63.458,40.007,63458.0,40007.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),Số cuối năm > Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt VAMC),-,150.000,,150000.0
Trái phiếu đặc biệt do VAMC phát hành,Số cuối năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,502.442,828.244,502442.0,828244.0
,,,565.900,1.018.251,565900.0,1018251.0
