row_label_raw,row_label_full,col_0,Số cuối năm%/năm,Số đầu năm%/năm,numeric__Số cuối năm%/năm,numeric__Số đầu năm%/năm
Bằng VND,Bằng VND,Bằng VND,"4,72 - 6,50","4,32 - 6,22",,
Bằng ngoại tệ,Bằng VND > Bằng ngoại tệ,Bằng ngoại tệ,"3,90","4,60 - 6,14",3.9,
