row_label_raw,row_label_full,col_0,Báo cáo tinh hình tài chính,Báo cáo tinh hình tài chính_1,Ảnh hưởng đếnbáo cáo kết quả hoạt động,Ảnh hưởng đếnbáo cáo kết quả hoạt động_1,numeric__Báo cáo tinh hình tài chính,numeric__Báo cáo tinh hình tài chính_1,numeric__Ảnh hưởng đếnbáo cáo kết quả hoạt động,numeric__Ảnh hưởng đếnbáo cáo kết quả hoạt động_1
,,,Số cuối nămVND,Số đầu nămVND,Năm nayVND,Năm trướcVND,,,,
Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,Tài sản thuế TNDN hoãn lại,,,,,,,,
Trích trước chi phíchưa có hoá đơn,Tài sản thuế TNDN hoãn lại > Trích trước chi phíchưa có hoá đơn,Trích trước chi phíchưa có hoá đơn,6.058,6.058,-,6.058,6058.0,6058.0,,6058.0
Chi phí dự phòng,Tài sản thuế TNDN hoãn lại > Chi phí dự phòng,Chi phí dự phòng,38.898,5.000,33.898,5.000,38898.0,5000.0,33898.0,5000.0
,,,44.956,11.058,33.898,11.058,44956.0,11058.0,33898.0,11058.0
Thu nhập thuế TNDN hoãn lại thuần ảnh hưởng báo cáo kếtquả hoạt động,Tài sản thuế TNDN hoãn lại > Thu nhập thuế TNDN hoãn lại thuần ảnh hưởng báo cáo kếtquả hoạt động,Thu nhập thuế TNDN hoãn lại thuần ảnh hưởng báo cáo kếtquả hoạt động,,,(33.898),(11.058),,,-33898.0,-11058.0
