row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịdụng cụ quản lýTriệu đồng,KhácTriệu đồng,Tổng cộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịdụng cụ quản lýTriệu đồng,numeric__KhácTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,490.578,636.510,165.321,31.880,11.228,1.335.517,490578.0,636510.0,165321.0,31880.0,11228.0,1335517.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,22.787,17.678,808,1.634,431,43.338,22787.0,17678.0,808.0,1634.0,431.0,43338.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(80),(21.280),(2.668),(433),(837),(25.298),-80.0,-21280.0,-2668.0,-433.0,-837.0,-25298.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,513.285,632.908,163.461,33.081,10.822,1.353.557,513285.0,632908.0,163461.0,33081.0,10822.0,1353557.0
Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,Giá trị khấu hao luỹ kế,,,,,,
Số đầu năm,Giá trị khấu hao luỹ kế > Số đầu năm,Số đầu năm,136.603,448.990,129.444,27.203,7.791,750.031,136603.0,448990.0,129444.0,27203.0,7791.0,750031.0
Khấu hao trong năm,Giá trị khấu hao luỹ kế > Khấu hao trong năm,Khấu hao trong năm,10.392,43.447,8.856,2.974,1.435,67.104,10392.0,43447.0,8856.0,2974.0,1435.0,67104.0
"Thanh lý, nhượng bán","Giá trị khấu hao luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(67),(21.280),(2.668),(393),(803),(25.211),-67.0,-21280.0,-2668.0,-393.0,-803.0,-25211.0
Số cuối năm,Giá trị khấu hao luỹ kế > Số cuối năm,Số cuối năm,146.928,471.157,135.632,29.784,8.423,791.924,146928.0,471157.0,135632.0,29784.0,8423.0,791924.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,353.975,187.520,35.877,4.677,3.437,585.486,353975.0,187520.0,35877.0,4677.0,3437.0,585486.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,366.357,161.751,27.829,3.297,2.399,561.633,366357.0,161751.0,27829.0,3297.0,2399.0,561633.0
