row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu đồng",Máy mócthiết bịTriệu đồng,Phương tiệnvận tảiTriệu đồng,Thiết bịquản lýTriệu đồng,Khác (*)Triệu đồng,TổngcộngTriệu đồng,"numeric__Nhà cửa,vật kiến trúcTriệu đồng",numeric__Máy mócthiết bịTriệu đồng,numeric__Phương tiệnvận tảiTriệu đồng,numeric__Thiết bịquản lýTriệu đồng,numeric__Khác (*)Triệu đồng,numeric__TổngcộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,460.411,1.018.676,459.565,41.592,525.888,2.506.132,460411.0,1018676.0,459565.0,41592.0,525888.0,2506132.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.548,83.317,-,698,110.175,195.738,1548.0,83317.0,,698.0,110175.0,195738.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.339),(12.866),(40.936),(1.335),(73.014),(132.490),-4339.0,-12866.0,-40936.0,-1335.0,-73014.0,-132490.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(120),-,-,120,-,,-120.0,,,120.0,
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,457.620,1.089.007,418.629,40.955,563.169,2.569.380,457620.0,1089007.0,418629.0,40955.0,563169.0,2569380.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,(107.287),(707.564),(193.679),(37.165),(352.153),(1.397.848),-107287.0,-707564.0,-193679.0,-37165.0,-352153.0,-1397848.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(12.382),(72.891),(52.213),(1.420),(56.808),(195.714),-12382.0,-72891.0,-52213.0,-1420.0,-56808.0,-195714.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",4.272,12.853,40.759,1.334,72.856,132.074,4272.0,12853.0,40759.0,1334.0,72856.0,132074.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,120,-,-,(120),-,,120.0,,,-120.0,
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,(115.397),(767.482),(205.133),(37.251),(336.225),(1.461.488),-115397.0,-767482.0,-205133.0,-37251.0,-336225.0,-1461488.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,353.124,311.112,265.886,4.427,173.735,1.108.284,353124.0,311112.0,265886.0,4427.0,173735.0,1108284.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,342.223,321.525,213.496,3.704,226.944,1.107.892,342223.0,321525.0,213496.0,3704.0,226944.0,1107892.0
