row_label_raw,row_label_full,col_0,Quyền sử dụng đất không thời hạn Triệu đồng,Phần mềm vi tính Triệu đồng,Tổng cộng Triệu đồng,numeric__Quyền sử dụng đất không thời hạn Triệu đồng,numeric__Phần mềm vi tính Triệu đồng,numeric__Tổng cộng Triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2024,Nguyên giá > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.325.711,572.711,2.898.422,2325711.0,572711.0,2898422.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,149.854,149.854,,149854.0,149854.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(1.729),-,(1.729),-1729.0,,-1729.0
Tại ngày 31 tháng 12 năm 2024,Nguyên giá > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.323.982,722.565,3.046.547,2323982.0,722565.0,3046547.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,-,(349.966),(349.966),,-349966.0,-349966.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(53.239),(53.239),,-53239.0,-53239.0
Tại ngày 31 tháng 12 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,-,(403.205),(403.205),,-403205.0,-403205.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2024,Tại ngày 1 tháng 1 năm 2024,2.325.711,222.745,2.548.456,2325711.0,222745.0,2548456.0
Tại ngày 31 tháng 12 năm 2024,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,2.323.982,319.360,2.643.342,2323982.0,319360.0,2643342.0
