row_label_raw,row_label_full,col_0,31.12.2024Triệu đồng,31.12.2023Triệu đồng,numeric__31.12.2024Triệu đồng,numeric__31.12.2023Triệu đồng
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,
Trái phiếu do các TCTD khác trong nước phát hành,Chứng khoán nợ > Trái phiếu do các TCTD khác trong nước phát hành,Trái phiếu do các TCTD khác trong nước phát hành,7.100.029,1.300.000,7100029.0,1300000.0
Chứng chỉ tiền gửi do các TCTD khác trong nước phát hành,Chứng khoán nợ > Chứng chỉ tiền gửi do các TCTD khác trong nước phát hành,Chứng chỉ tiền gửi do các TCTD khác trong nước phát hành,3.300.000,2.200.000,3300000.0,2200000.0
"Trái phiếu do các tổ chức kinh tế (""TCKT"") trong nước phát hành","Chứng khoán nợ > Trái phiếu do các tổ chức kinh tế (""TCKT"") trong nước phát hành","Trái phiếu do các tổ chức kinh tế (""TCKT"") trong nước phát hành",2.200.183,-,2200183.0,
Trái phiếu Chính phủ,Chứng khoán nợ > Trái phiếu Chính phủ,Trái phiếu Chính phủ,693.518,-,693518.0,
,,,13.293.730,3.500.000,13293730.0,3500000.0
Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,Chứng khoán vốn,,
Chứng khoán vốn do TCKT trong nước phát hành,Chứng khoán vốn > Chứng khoán vốn do TCKT trong nước phát hành,Chứng khoán vốn do TCKT trong nước phát hành,212.868,212.868,212868.0,212868.0
,,,13.506.598,3.712.868,13506598.0,3712868.0
Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán,,
Dự phòng chung trái phiếu doanh nghiệp chưa niêm yết,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán > Dự phòng chung trái phiếu doanh nghiệp chưa niêm yết,Dự phòng chung trái phiếu doanh nghiệp chưa niêm yết,(16.501),-,-16501.0,
Dự phòng giảm giá chứng khoán vốn,Dự phòng rủi ro chứng khoán đầu tư sẵn sàng để bán > Dự phòng giảm giá chứng khoán vốn,Dự phòng giảm giá chứng khoán vốn,(145.679),(152.785),-145679.0,-152785.0
,,,(162.180),(152.785),-162180.0,-152785.0
,,,13.344.418,3.560.083,13344418.0,3560083.0
