row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,VND,USD,EUR,Vàng,Khác,Tổng cộng,numeric__VND,numeric__USD,numeric__EUR,numeric__Vàng,numeric__Khác,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",917.181,702.811,76.121,58.119,341.741,2.095.973,917181.0,702811.0,76121.0,58119.0,341741.0,2095973.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,3.576.990,758.544,-,-,-,4.335.534,3576990.0,758544.0,,,,4335534.0
Tiền gửi tại các TCTD khác,Tài sản > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,17.484.720,7.496.236,60.049,-,4.788.633,29.829.638,17484720.0,7496236.0,60049.0,,4788633.0,29829638.0
Chứng khoán kinh doanh,Tài sản > Chứng khoán kinh doanh,Chứng khoán kinh doanh,3.031.363,-,-,-,-,3.031.363,3031363.0,,,,,3031363.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,3.877.422,(361.752),52.949,-,(3.276.733),291.886,3877422.0,-361752.0,52949.0,,-3276733.0,291886.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),151.981.254,13.146.662,26.179,802,-,165.154.897,151981254.0,13146662.0,26179.0,802.0,,165154897.0
Mua nợ (*),Tài sản > Mua nợ (*),Mua nợ (*),800.000,-,-,-,-,800.000,800000.0,,,,,800000.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),29.356.360,-,-,-,-,29.356.360,29356360.0,,,,,29356360.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",300.000,-,-,-,-,300.000,300000.0,,,,,300000.0
TSCĐ,Tài sản > TSCĐ,TSCĐ,3.751.234,-,-,-,-,3.751.234,3751234.0,,,,,3751234.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),3.494.456,58.070,(47),-,3.599,3.556.078,3494456.0,58070.0,-47.0,,3599.0,3556078.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,218.570.980,21.800.571,215.251,58.921,1.857.240,242.502.963,218570980.0,21800571.0,215251.0,58921.0,1857240.0,242502963.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,2.079.510,-,-,-,-,2.079.510,2079510.0,,,,,2079510.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,17.363.725,12.306.557,15,-,33,29.670.330,17363725.0,12306557.0,15.0,,33.0,29670330.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,157.038.965,9.824.933,210.141,-,747.224,167.821.263,157038965.0,9824933.0,210141.0,,747224.0,167821263.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,10.864.503,-,-,-,-,10.864.503,10864503.0,,,,,10864503.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,3.504.161,397.997,400,-,673.521,4.576.079,3504161.0,397997.0,400.0,,673521.0,4576079.0
Vốn và các quỹ,Nợ phải trả > Vốn và các quỹ,Vốn và các quỹ,25.013.131,-,-,-,-,25.013.131,25013131.0,,,,,25013131.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,215.863.995,22.529.487,210.556,-,1.420.778,240.024.816,215863995.0,22529487.0,210556.0,,1420778.0,240024816.0
Trạng thái tiền tệ nội bảng,Nợ phải trả > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,2.706.985,(728.916),4.695,58.921,436.462,2.478.147,2706985.0,-728916.0,4695.0,58921.0,436462.0,2478147.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,-,195.399,(1.061),-,(434.120),(239.782),,195399.0,-1061.0,,-434120.0,-239782.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",2.706.985,(533.517),3.634,58.921,2.342,2.238.365,2706985.0,-533517.0,3634.0,58921.0,2342.0,2238365.0
