row_label_raw,row_label_full,col_0,Tiền gửi tại các TCTD khác,Chứng khoán kinh doanh,Công cụ tài chính phải sinh,Cho vay khách hàng,Hoạt động mua nợ,Chứng khoán đầu tư,Các tài sản tài chính khác,Tổng cộng,numeric__Tiền gửi tại các TCTD khác,numeric__Chứng khoán kinh doanh,numeric__Công cụ tài chính phải sinh,numeric__Cho vay khách hàng,numeric__Hoạt động mua nợ,numeric__Chứng khoán đầu tư,numeric__Các tài sản tài chính khác,numeric__Tổng cộng
Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,Chưa quá hạn và chưa bị giảm giá,29.829.638,1.035.642,291.886,157.889.922,800.000,16.900.212,1.963.239,208.710.539,29829638.0,1035642.0,291886.0,157889922.0,800000.0,16900212.0,1963239.0,208710539.0
Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,Đã quá hạn nhưng chưa bị giảm giá,-,-,-,3.329.127,-,-,-,3.329.127,,,,3329127.0,,,,3329127.0
Bị giảm giá,Bị giảm giá,Bị giảm giá,-,-,-,3.935.848,-,75.000,465.814,4.476.662,,,,3935848.0,,75000.0,465814.0,4476662.0
,,,29.829.638,1.035.642,291.886,165.154.897,800.000,16.975.212,2.429.053,216.516.328,29829638.0,1035642.0,291886.0,165154897.0,800000.0,16975212.0,2429053.0,216516328.0
Trừ: dự phòng rủi ro,Trừ: dự phòng rủi ro,Trừ: dự phòng rủi ro,,,,,,,,,,,,,,,,
Dự phòng chung,Trừ: dự phòng rủi ro > Dự phòng chung,Dự phòng chung,-,-,-,(1.213.191),(6.000),(16.501),-,(1.235.692),,,,-1213191.0,-6000.0,-16501.0,,-1235692.0
Dự phòng cụ thể,Trừ: dự phòng rủi ro > Dự phòng cụ thể,Dự phòng cụ thể,-,-,-,(555.962),-,(75.000),-,(630.962),,,,-555962.0,,-75000.0,,-630962.0
Dự phòng rủi ro khác,Trừ: dự phòng rủi ro > Dự phòng rủi ro khác,Dự phòng rủi ro khác,-,-,-,-,-,-,(465.814),(465.814),,,,,,,-465814.0,-465814.0
,,,-,-,-,(1.769.153),(6.000),(91.501),(465.814),(2.332.468),,,,-1769153.0,-6000.0,-91501.0,-465814.0,-2332468.0
Giá trị thuần,Trừ: dự phòng rủi ro > Giá trị thuần,Giá trị thuần,29.829.638,1.035.642,291.886,163.385.744,794.000,16.883.711,1.980.244,214.183.860,29829638.0,1035642.0,291886.0,163385744.0,794000.0,16883711.0,1980244.0,214183860.0
