row_label_raw,row_label_full,Giấy phép thành lập và hoạt động > Giấy chứng nhận đăng ký doanh nghiệp > Hội đồng Quản trị,"Số 0011/NH-GP do Ngân hàng Nhà nước Việt Nam (“NHNN”) cấp ngày 6 tháng 4 năm 1992 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày cấp của giấy phép. > Số 0301179079 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 23 tháng 7 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 32 ngày 10 tháng 5 năm 2024. > Ông Nguyễn Cảnh Anh > Bà Đỗ Hà Phương > Ông Trần Tấn Lộc","Số 0011/NH-GP do Ngân hàng Nhà nước Việt Nam (“NHNN”) cấp ngày 6 tháng 4 năm 1992 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày cấp của giấy phép. > Số 0301179079 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 23 tháng 7 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 32 ngày 10 tháng 5 năm 2024. > Chủ tịch(từ ngày 26 tháng 4 năm 2024)Thành viên(đến ngày 26 tháng 4 năm 2024) > Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024)Chủ tịch(đến ngày 26 tháng 4 năm 2024) > Phó Chủ tịch(từ ngày 25 tháng 1 năm 2024)Thành viên(đến ngày 25 tháng 1 năm 2024)","numeric__Số 0011/NH-GP do Ngân hàng Nhà nước Việt Nam (“NHNN”) cấp ngày 6 tháng 4 năm 1992 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày cấp của giấy phép. > Số 0301179079 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 23 tháng 7 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 32 ngày 10 tháng 5 năm 2024. > Ông Nguyễn Cảnh Anh > Bà Đỗ Hà Phương > Ông Trần Tấn Lộc","numeric__Số 0011/NH-GP do Ngân hàng Nhà nước Việt Nam (“NHNN”) cấp ngày 6 tháng 4 năm 1992 và các Quyết định sửa đổi, bổ sung Giấy phép thành lập và hoạt động. Thời hạn hoạt động của Ngân hàng là 99 năm kể từ ngày cấp của giấy phép. > Số 0301179079 do Sở Kế hoạch và Đầu tư Thành phố Hồ Chí Minh cấp lần đầu ngày 23 tháng 7 năm 1992 và Giấy chứng nhận đăng ký doanh nghiệp thay đổi gần nhất lần thứ 32 ngày 10 tháng 5 năm 2024. > Chủ tịch(từ ngày 26 tháng 4 năm 2024)Thành viên(đến ngày 26 tháng 4 năm 2024) > Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024)Chủ tịch(đến ngày 26 tháng 4 năm 2024) > Phó Chủ tịch(từ ngày 25 tháng 1 năm 2024)Thành viên(đến ngày 25 tháng 1 năm 2024)"
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Trần Anh Thắng,Thành viên độc lập,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Phạm Quang Dũng,Thành viên,,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Lê Thị Mai Loan,Thành viên(đến ngày 26 tháng 4 năm 2024),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Bà Lương Thị Cẩm Tú,Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024đến ngày 28 tháng 11 năm 2024)Thành viên(đến ngày 26 tháng 4 năm 2024),,
Hội đồng Quản trị,Hội đồng Quản trị,Hội đồng Quản trị,Ông Nguyễn Hồ Nam,Phó Chủ tịch(từ ngày 26 tháng 4 năm 2024đến ngày 28 tháng 11 năm 2024),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Doãn Hồ Lan,Trường ban(từ ngày 5 tháng 3 năm 2025)Thành viên(đến ngày 5 tháng 3 năm 2025),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Ngo Tony,Trường ban(đến ngày 28 tháng 11 năm 2024),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Phạm Thị Mai Phương,Thành viên,,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Lâm Nguyễn Thiện Nhơn,Thành viên(từ ngày 26 tháng 2 năm 2025),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Ông Nguyễn Trí Trung,Thành viên(từ ngày 26 tháng 2 năm 2025),,
Ban Kiểm soát,Ban Kiểm soát,Ban Kiểm soát,Bà Trần Thị Minh Lý,Thành viên(từ ngày 26 tháng 2 năm 2025),,
