row_label_raw,row_label_full,col_0,col_1,Tại ngày > Thuyết minh,Tại ngày > 31.12.2024Triệu đồng,Tại ngày > 31.12.2023Triệu đồng,numeric__col_1,numeric__Tại ngày > Thuyết minh,numeric__Tại ngày > 31.12.2024Triệu đồng,numeric__Tại ngày > 31.12.2023Triệu đồng
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và NHNN,14,2.079.510,19.870,,14.0,2079510.0,19870.0
1,B > 1,1,"Tiền gửi và vay Chính phủ, NHNN",,2.079.510,19.870,,,2079510.0,19870.0
II,B > II,II,Tiền gửi và vay các TCTD khác,,29.670.330,16.363.869,,,29670330.0,16363869.0
1,B > 1,1,Tiền gửi của các TCTD khác,15.1,22.067.863,16.363.869,,151.0,22067863.0,16363869.0
2,B > 2,2,Vay các TCTD khác,15.2,7.602.467,-,,152.0,7602467.0,
III,B > III,III,Tiền gửi của khách hàng,16,167.821.263,156.654.052,,16.0,167821263.0,156654052.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,7,-,230.822,,7.0,,230822.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,10.864.503,2.000.000,,17.0,10864503.0,2000000.0
VII,B > VII,VII,Các khoản nợ khác,,4.576.079,4.012.748,,,4576079.0,4012748.0
1,B > 1,1,"Các khoản lãi, phí phải trả",18.1,2.119.982,2.553.314,,181.0,2119982.0,2553314.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18.2,2.456.097,1.459.434,,182.0,2456097.0,1459434.0
,,,TỔNG NỘ PHẢI TRẢ,,215.011.685,179.281.361,,,215011685.0,179281361.0
VIII,B > VIII,VIII,Vốn chủ sở hữu,20,25.013.131,22.391.341,,20.0,25013131.0,22391341.0
1,B > 1,1,Vốn của TCTD,,18.781.551,17.563.006,,,18781551.0,17563006.0
a,B > a,a,Vốn điều lệ,,18.688.106,17.469.561,,,18688106.0,17469561.0
b,B > b,b,Vốn đầu tư xây dựng cơ bản,,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Quỹ của TCTD,,3.537.491,2.878.790,,,3537491.0,2878790.0
5,B > 5,5,Lợi nhuận chưa phân phối,,2.694.089,1.949.545,,,2694089.0,1949545.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,25.013.131,22.391.341,,,25013131.0,22391341.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,240.024.816,201.672.702,,,240024816.0,201672702.0
