row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu đồng,Thăng dư vốn cổ phần Triệu đồng,Cổ phiếu quỹ Triệu đồng,Quỹ của TCTD,Quỹ của TCTD_1,Quỹ của TCTD_2,Quỹ của TCTD_3,Vốn đầu tư xây dựng cơ bản Triệu đồng,Lợi nhuận chưa phân phối Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn điều lệ Triệu đồng,numeric__Thăng dư vốn cổ phần Triệu đồng,numeric__Cổ phiếu quỹ Triệu đồng,numeric__Quỹ của TCTD,numeric__Quỹ của TCTD_1,numeric__Quỹ của TCTD_2,numeric__Quỹ của TCTD_3,numeric__Vốn đầu tư xây dựng cơ bản Triệu đồng,numeric__Lợi nhuận chưa phân phối Triệu đồng,numeric__Tổng cộng Triệu đồng
,,,Vốn điều lệ Triệu đồng,Thăng dư vốn cổ phần Triệu đồng,Cổ phiếu quỹ Triệu đồng,Quỹ dự phòng tài chính Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Quỹ đầu tư phát triển Triệu đồng,Tổng cộng Quỹ của TCTD Triệu đồng,Vốn đầu tư xây dựng cơ bản Triệu đồng,Lợi nhuận chưa phân phối Triệu đồng,Tổng cộng Triệu đồng,,,,,,,,,,
Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,Tại ngày 1 tháng 1 năm 2023,12.355.229,156.322,(78.273),1.690.284,866.236,326,2.556.846,15.396,5.439.529,20.445.049,12355229.0,156322.0,-78273.0,1690284.0,866236.0,326.0,2556846.0,15396.0,5439529.0,20445049.0
"Phát hành cổ phiếu đề trả cổ tức (i), (ii)","Phát hành cổ phiếu đề trả cổ tức (i), (ii)","Phát hành cổ phiếu đề trả cổ tức (i), (ii)",5.114.332,-,-,-,-,-,-,-,(5.114.332),-,5114332.0,,,,,,,,-5114332.0,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,2.146.292,2.146.292,,,,,,,,,2146292.0,2146292.0
Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),-,-,-,214.629,107.315,-,321.944,-,(321.944),-,,,,214629.0,107315.0,,321944.0,,-321944.0,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18.2) (ii)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18.2) (ii)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18.2) (ii)",-,-,-,-,-,-,-,-,(200.000),(200.000),,,,,,,,,-200000.0,-200000.0
Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,Tại ngày 31 tháng 12 năm 2023,17.469.561,156.322,(78.273),1.904.913,973.551,326,2.878.790,15.396,1.949.545,22.391.341,17469561.0,156322.0,-78273.0,1904913.0,973551.0,326.0,2878790.0,15396.0,1949545.0,22391341.0
Phát hành cổ phiếu đề trả cổ tức (iii),Phát hành cổ phiếu đề trả cổ tức (iii),Phát hành cổ phiếu đề trả cổ tức (iii),1.218.545,-,-,-,-,-,-,-,(1.218.545),-,1218545.0,,,,,,,,-1218545.0,
Chỉ trả cổ tức bằng tiền (iii),Chỉ trả cổ tức bằng tiền (iii),Chỉ trả cổ tức bằng tiền (iii),-,-,-,-,-,-,-,-,(522.260),(522.260),,,,,,,,,-522260.0,-522260.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,-,3.294.187,3.294.187,,,,,,,,,3294187.0,3294187.0
Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),Trích lập các quỹ trong năm (*),-,-,-,329.419,329.419,-,658.838,-,(658.838),-,,,,329419.0,329419.0,,658838.0,,-658838.0,
"Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18.2) (iii)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18.2) (iii)","Trích lập Quỹ khen thưởng, phúc lợi (Thuyết minh 18.2) (iii)",-,-,-,-,-,-,-,-,(150.000),(150.000),,,,,,,,,-150000.0,-150000.0
Sử dụng trong năm,Sử dụng trong năm,Sử dụng trong năm,-,-,-,(137),-,-,(137),-,-,(137),,,,-137.0,,,-137.0,,,-137.0
Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,Tại ngày 31 tháng 12 năm 2024,18.688.106,156.322,(78.273),2.234.195,1.302.970,326,3.537.491,15.396,2.694.089,25.013.131,18688106.0,156322.0,-78273.0,2234195.0,1302970.0,326.0,3537491.0,15396.0,2694089.0,25013131.0
