row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2024 Triệu đồng,Tại ngày > 31.12.2023 Triệu đồng,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2024 Triệu đồng,numeric__Tại ngày > 31.12.2023 Triệu đồng
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",3,2.095.973,2.257.426,,3.0,2095973.0,2257426.0
II,A > II,II,Tiền gửi tại NHNN,4,4.335.534,4.058.527,,4.0,4335534.0,4058527.0
III,A > III,III,Tiền gửi tại các tổ chức tín dụng (“TCTD”) khác,,29.829.638,43.026.893,,,29829638.0,43026893.0
1,A > 1,1,Tiền gửi tại các TCTD khác,5,29.829.638,43.026.893,,5.0,29829638.0,43026893.0
IV,A > IV,IV,Chứng khoán kinh doanh,6,3.031.363,-,,6.0,3031363.0,
1,A > 1,1,Chứng khoán kinh doanh,,3.031.363,-,,,3031363.0,
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,7,291.886,-,,7.0,291886.0,
VI,A > VI,VI,Cho vay khách hàng,8,163.385.744,138.913.150,,8.0,163385744.0,138913150.0
1,A > 1,1,Cho vay khách hàng,,165.154.897,140.448.924,,,165154897.0,140448924.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,,(1.769.153),(1.535.774),,,-1769153.0,-1535774.0
VII,A > VII,VII,Hoạt động mua nợ,9,794.000,-,,9.0,794000.0,
1,A > 1,1,Mua nợ,,800.000,-,,,800000.0,
2,A > 2,2,Dự phòng rủi ro hoạt động mua nợ,,(6.000),-,,,-6000.0,
VIII,A > VIII,VIII,Chứng khoán đầu tư,,29.119.180,6.983.290,,,29119180.0,6983290.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,10.1,13.506.598,3.712.868,,101.0,13506598.0,3712868.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,10.2,15.849.762,3.438.770,,102.0,15849762.0,3438770.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,10.6,(237.180),(168.348),,106.0,-237180.0,-168348.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",11,300.000,300.000,,11.0,300000.0,300000.0
1,A > 1,1,Đầu tư vào công ty con,,300.000,300.000,,,300000.0,300000.0
X,A > X,X,Tài sản cố định,,3.751.234,3.656.740,,,3751234.0,3656740.0
1,A > 1,1,Tài sản cố định hữu hình,12.1,1.107.892,1.108.284,,121.0,1107892.0,1108284.0
a,A > a,a,Nguyên giá,,2.569.380,2.506.132,,,2569380.0,2506132.0
b,A > b,b,Giá trị khấu hao lũy kế,,(1.461.488),(1.397.848),,,-1461488.0,-1397848.0
3,A > 3,3,Tài sản cố định vô hình,12.2,2.643.342,2.548.456,,122.0,2643342.0,2548456.0
a,A > a,a,Nguyên giá,,3.046.547,2.898.422,,,3046547.0,2898422.0
b,A > b,b,Giá trị khấu hao lũy kế,,(403.205),(349.966),,,-403205.0,-349966.0
XII,A > XII,XII,Tài sản Có khác,,3.090.264,2.476.676,,,3090264.0,2476676.0
1,A > 1,1,Các khoản phải thu,13.1,1.346.594,1.300.599,,131.0,1346594.0,1300599.0
2,A > 2,2,"Các khoản lãi, phí phải thu",13.2,1.540.576,805.637,,132.0,1540576.0,805637.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp (“TNDN”) hoãn lại,19,20.727,20.549,,19.0,20727.0,20549.0
4,A > 4,4,Tài sản Có khác,13.3,648.181,815.696,,133.0,648181.0,815696.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,13.5,(465.814),(465.805),,135.0,-465814.0,-465805.0
,,,TỔNG TÀI SẢN,,240.024.816,201.672.702,,,240024816.0,201672702.0
